# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,5.1519e-20
5.1600e+02,9.3688e-20
5.4000e+02,3.3847e-19
5.6400e+02,1.0983e-18
5.8700e+02,3.0970e-18
6.1200e+02,8.8580e-18
6.4000e+02,2.6367e-17
6.7100e+02,7.9638e-17
7.0500e+02,2.4149e-16
7.3600e+02,6.1027e-16
7.7000e+02,1.5515e-15
8.1000e+02,4.2088e-15
8.5000e+02,1.0380e-14
8.9000e+02,2.3527e-14
9.2000e+02,1.3913e-12
9.4000e+02,7.1819e-12
9.6200e+02,3.8407e-11
9.8700e+02,5.1224e-10
1.0120e+03,4.5919e-10
1.0370e+03,4.8874e-10
1.0620e+03,1.5728e-09
1.0870e+03,1.6339e-09
1.1120e+03,9.2345e-09
1.1200e+03,9.8150e-09
1.1400e+03,1.0079e-08
1.1600e+03,1.0361e-08
1.1800e+03,7.4129e-09
1.2000e+03,2.9434e-09
1.2200e+03,6.1137e-10
1.2400e+03,4.7276e-09
1.2600e+03,9.1247e-09
1.2800e+03,1.1893e-08
1.3000e+03,1.1097e-08
1.3200e+03,1.3107e-08
1.3400e+03,1.3563e-08
1.3600e+03,1.3815e-08
1.3800e+03,1.3358e-08
1.4000e+03,1.3149e-08
1.4200e+03,1.3400e-08
1.4400e+03,1.3270e-08
1.4600e+03,1.4945e-08
1.4800e+03,1.3735e-08
1.5000e+03,1.4443e-08
1.5200e+03,1.4615e-08
1.5400e+03,1.3903e-08
1.5600e+03,1.3857e-08
1.5800e+03,1.2642e-08
1.6000e+03,1.2521e-08
1.6200e+03,1.1055e-08
1.6400e+03,1.0762e-08
1.6600e+03,1.0339e-08
1.6800e+03,1.0590e-08
1.7000e+03,1.0548e-08
1.7200e+03,9.7990e-09
1.7400e+03,9.9620e-09
1.7600e+03,1.0092e-08
1.7800e+03,1.0134e-08
1.8000e+03,1.0632e-08
1.8200e+03,9.8405e-09
1.8400e+03,9.0032e-09
1.8600e+03,8.9613e-09
1.8800e+03,8.9193e-09
1.9000e+03,8.7103e-09
1.9200e+03,8.4589e-09
1.9400e+03,8.4965e-09
1.9600e+03,8.5804e-09
1.9800e+03,8.0400e-09
2.0000e+03,7.6592e-09
2.0025e+03,7.6223e-09
2.0050e+03,7.5858e-09
2.0075e+03,7.5490e-09
2.0100e+03,7.5125e-09
2.0125e+03,7.4760e-09
2.0150e+03,7.4392e-09
2.0175e+03,7.4027e-09
2.0200e+03,7.3658e-09
2.0225e+03,7.3607e-09
2.0250e+03,7.3552e-09
2.0275e+03,7.3501e-09
2.0300e+03,7.3450e-09
2.0325e+03,7.3399e-09
2.0350e+03,7.3344e-09
2.0375e+03,7.3293e-09
2.0400e+03,7.3239e-09
2.0425e+03,7.2717e-09
2.0450e+03,7.2195e-09
2.0475e+03,7.1670e-09
2.0500e+03,7.1148e-09
2.0525e+03,7.0623e-09
2.0550e+03,7.0101e-09
2.0575e+03,6.9576e-09
2.0600e+03,6.9054e-09
2.0625e+03,6.8744e-09
2.0650e+03,6.8434e-09
2.0675e+03,6.8127e-09
2.0700e+03,6.7817e-09
2.0725e+03,6.7507e-09
2.0750e+03,6.7200e-09
2.0775e+03,6.6890e-09
2.0800e+03,6.6580e-09
2.0825e+03,6.6682e-09
2.0850e+03,6.6781e-09
2.0875e+03,6.6879e-09
2.0900e+03,6.6982e-09
2.0925e+03,6.7080e-09
2.0950e+03,6.7179e-09
2.0975e+03,6.7277e-09
2.1000e+03,6.7379e-09
2.1025e+03,6.7332e-09
2.1050e+03,6.7284e-09
2.1075e+03,6.7237e-09
2.1100e+03,6.7189e-09
2.1125e+03,6.7142e-09
2.1150e+03,6.7095e-09
2.1175e+03,6.7047e-09
2.1200e+03,6.7000e-09
2.1225e+03,6.6682e-09
2.1250e+03,6.6361e-09
2.1275e+03,6.6044e-09
2.1300e+03,6.5723e-09
2.1325e+03,6.5405e-09
2.1350e+03,6.5084e-09
2.1375e+03,6.4767e-09
2.1400e+03,6.4446e-09
2.1425e+03,6.4398e-09
2.1450e+03,6.4351e-09
2.1475e+03,6.4304e-09
2.1500e+03,6.4260e-09
2.1525e+03,6.4212e-09
2.1550e+03,6.4165e-09
2.1575e+03,6.4118e-09
2.1600e+03,6.4070e-09
2.1625e+03,6.3702e-09
2.1650e+03,6.3337e-09
2.1675e+03,6.2972e-09
2.1700e+03,6.2603e-09
2.1725e+03,6.2239e-09
2.1750e+03,6.1870e-09
2.1775e+03,6.1505e-09
2.1800e+03,6.1137e-09
2.1825e+03,6.1027e-09
2.1850e+03,6.0918e-09
2.1875e+03,6.0808e-09
2.1900e+03,6.0699e-09
2.1925e+03,6.0589e-09
2.1950e+03,6.0480e-09
2.1975e+03,6.0367e-09
2.2000e+03,6.0257e-09
2.2025e+03,6.0002e-09
2.2050e+03,5.9747e-09
2.2075e+03,5.9491e-09
2.2100e+03,5.9232e-09
2.2125e+03,5.8977e-09
2.2150e+03,5.8721e-09
2.2175e+03,5.8462e-09
2.2200e+03,5.8207e-09
2.2225e+03,5.8050e-09
2.2250e+03,5.7893e-09
2.2275e+03,5.7736e-09
2.2300e+03,5.7580e-09
2.2325e+03,5.7423e-09
2.2350e+03,5.7266e-09
2.2375e+03,5.7109e-09
2.2400e+03,5.6952e-09
2.2425e+03,5.6474e-09
2.2450e+03,5.6000e-09
2.2475e+03,5.5522e-09
2.2500e+03,5.5044e-09
2.2525e+03,5.4570e-09
2.2550e+03,5.4092e-09
2.2575e+03,5.3617e-09
2.2600e+03,5.3139e-09
2.2625e+03,5.3296e-09
2.2650e+03,5.3453e-09
2.2675e+03,5.3610e-09
2.2700e+03,5.3767e-09
2.2725e+03,5.3924e-09
2.2750e+03,5.4081e-09
2.2775e+03,5.4241e-09
2.2800e+03,5.4398e-09
2.2825e+03,5.4296e-09
2.2850e+03,5.4197e-09
2.2875e+03,5.4099e-09
2.2900e+03,5.3997e-09
2.2925e+03,5.3898e-09
2.2950e+03,5.3800e-09
2.2975e+03,5.3701e-09
2.3000e+03,5.3599e-09
2.3025e+03,5.3333e-09
2.3050e+03,5.3066e-09
2.3075e+03,5.2800e-09
2.3100e+03,5.2534e-09
2.3125e+03,5.2267e-09
2.3150e+03,5.1997e-09
2.3175e+03,5.1731e-09
2.3200e+03,5.1465e-09
2.3225e+03,5.1100e-09
2.3250e+03,5.0731e-09
2.3275e+03,5.0367e-09
2.3300e+03,4.9998e-09
2.3325e+03,4.9633e-09
2.3350e+03,4.9268e-09
2.3375e+03,4.8900e-09
2.3400e+03,4.8535e-09
2.3425e+03,4.8323e-09
2.3450e+03,4.8116e-09
2.3475e+03,4.7904e-09
2.3500e+03,4.7696e-09
2.3525e+03,4.7488e-09
2.3550e+03,4.7276e-09
2.3575e+03,4.7068e-09
2.3600e+03,4.6857e-09
2.3625e+03,4.6656e-09
2.3650e+03,4.6452e-09
2.3675e+03,4.6248e-09
2.3700e+03,4.6043e-09
2.3725e+03,4.5839e-09
2.3750e+03,4.5635e-09
2.3775e+03,4.5430e-09
2.3800e+03,4.5226e-09
2.3825e+03,4.5018e-09
2.3850e+03,4.4806e-09
