# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,2.2677e-25
5.1600e+02,4.8288e-25
5.4000e+02,2.5572e-24
5.6400e+02,1.1816e-23
5.8700e+02,4.6503e-23
6.1200e+02,1.9004e-22
6.4000e+02,8.3880e-22
6.7100e+02,3.9469e-21
7.0500e+02,1.9264e-20
7.3600e+02,7.3994e-20
7.7000e+02,2.9093e-19
8.1000e+02,1.2721e-18
8.5000e+02,4.8617e-18
8.9000e+02,1.6445e-17
9.2000e+02,2.1385e-15
9.4000e+02,8.6563e-15
9.6200e+02,1.4746e-14
9.8700e+02,2.6816e-14
1.0120e+03,4.0856e-14
1.0370e+03,5.8188e-14
1.0620e+03,9.0651e-14
1.0870e+03,1.2963e-13
1.1120e+03,1.3802e-12
1.1200e+03,1.5322e-12
1.1400e+03,1.8765e-12
1.1600e+03,2.5114e-12
1.1800e+03,3.0228e-12
1.2000e+03,3.0229e-12
1.2200e+03,4.0049e-12
1.2400e+03,2.4442e-11
1.2600e+03,1.4571e-10
1.2800e+03,4.6751e-10
1.3000e+03,7.1180e-10
1.3200e+03,9.8799e-10
1.3400e+03,1.2884e-09
1.3600e+03,1.2349e-09
1.3800e+03,1.3654e-09
1.4000e+03,1.4776e-09
1.4200e+03,1.4776e-09
1.4400e+03,1.7209e-09
1.4600e+03,1.9320e-09
1.4800e+03,1.6418e-09
1.5000e+03,2.5923e-09
1.5200e+03,2.2288e-09
1.5400e+03,2.6840e-09
1.5600e+03,3.1596e-09
1.5800e+03,3.7658e-09
1.6000e+03,3.8976e-09
1.6200e+03,3.7129e-09
1.6400e+03,3.7658e-09
1.6600e+03,3.6015e-09
1.6800e+03,3.6279e-09
1.7000e+03,4.0757e-09
1.7200e+03,4.0104e-09
1.7400e+03,4.3338e-09
1.7600e+03,4.5251e-09
1.7800e+03,4.6061e-09
1.8000e+03,4.6872e-09
1.8200e+03,4.7682e-09
1.8400e+03,4.3991e-09
1.8600e+03,4.5375e-09
1.8800e+03,4.7032e-09
1.9000e+03,4.5448e-09
1.9200e+03,4.4327e-09
1.9400e+03,4.5251e-09
1.9600e+03,4.5119e-09
1.9800e+03,4.2940e-09
2.0000e+03,3.9834e-09
2.0025e+03,3.9647e-09
2.0050e+03,3.9458e-09
2.0075e+03,3.9268e-09
2.0100e+03,3.9078e-09
2.0125e+03,3.8892e-09
2.0150e+03,3.8702e-09
2.0175e+03,3.8512e-09
2.0200e+03,3.8322e-09
2.0225e+03,3.8373e-09
2.0250e+03,3.8425e-09
2.0275e+03,3.8472e-09
2.0300e+03,3.8523e-09
2.0325e+03,3.8571e-09
2.0350e+03,3.8622e-09
2.0375e+03,3.8669e-09
2.0400e+03,3.8720e-09
2.0425e+03,3.8746e-09
2.0450e+03,3.8768e-09
2.0475e+03,3.8793e-09
2.0500e+03,3.8819e-09
2.0525e+03,3.8844e-09
2.0550e+03,3.8866e-09
2.0575e+03,3.8892e-09
2.0600e+03,3.8917e-09
2.0625e+03,3.8833e-09
2.0650e+03,3.8749e-09
2.0675e+03,3.8669e-09
2.0700e+03,3.8585e-09
2.0725e+03,3.8501e-09
2.0750e+03,3.8417e-09
2.0775e+03,3.8333e-09
2.0800e+03,3.8253e-09
2.0825e+03,3.8129e-09
2.0850e+03,3.8005e-09
2.0875e+03,3.7881e-09
2.0900e+03,3.7756e-09
2.0925e+03,3.7632e-09
2.0950e+03,3.7508e-09
2.0975e+03,3.7384e-09
2.1000e+03,3.7264e-09
2.1025e+03,3.6833e-09
2.1050e+03,3.6404e-09
2.1075e+03,3.5975e-09
2.1100e+03,3.5547e-09
2.1125e+03,3.5118e-09
2.1150e+03,3.4689e-09
2.1175e+03,3.4260e-09
2.1200e+03,3.3832e-09
2.1225e+03,3.3634e-09
2.1250e+03,3.3436e-09
2.1275e+03,3.3238e-09
2.1300e+03,3.3040e-09
2.1325e+03,3.2842e-09
2.1350e+03,3.2644e-09
2.1375e+03,3.2447e-09
2.1400e+03,3.2249e-09
2.1425e+03,3.2381e-09
2.1450e+03,3.2514e-09
2.1475e+03,3.2647e-09
2.1500e+03,3.2779e-09
2.1525e+03,3.2912e-09
2.1550e+03,3.3045e-09
2.1575e+03,3.3178e-09
2.1600e+03,3.3311e-09
2.1625e+03,3.3186e-09
2.1650e+03,3.3062e-09
2.1675e+03,3.2937e-09
2.1700e+03,3.2813e-09
2.1725e+03,3.2688e-09
2.1750e+03,3.2564e-09
2.1775e+03,3.2439e-09
2.1800e+03,3.2315e-09
2.1825e+03,3.2265e-09
2.1850e+03,3.2216e-09
2.1875e+03,3.2166e-09
2.1900e+03,3.2117e-09
2.1925e+03,3.2067e-09
2.1950e+03,3.2018e-09
2.1975e+03,3.1968e-09
2.2000e+03,3.1919e-09
2.2025e+03,3.1615e-09
2.2050e+03,3.1311e-09
2.2075e+03,3.1006e-09
2.2100e+03,3.0702e-09
2.2125e+03,3.0398e-09
2.2150e+03,3.0093e-09
2.2175e+03,2.9789e-09
2.2200e+03,2.9485e-09
2.2225e+03,2.9625e-09
2.2250e+03,2.9765e-09
2.2275e+03,2.9905e-09
2.2300e+03,3.0046e-09
2.2325e+03,3.0186e-09
2.2350e+03,3.0326e-09
2.2375e+03,3.0466e-09
2.2400e+03,3.0606e-09
2.2425e+03,3.0292e-09
2.2450e+03,2.9978e-09
2.2475e+03,2.9664e-09
2.2500e+03,2.9350e-09
2.2525e+03,2.9036e-09
2.2550e+03,2.8721e-09
2.2575e+03,2.8407e-09
2.2600e+03,2.8093e-09
2.2625e+03,2.8332e-09
2.2650e+03,2.8571e-09
2.2675e+03,2.8810e-09
2.2700e+03,2.9049e-09
2.2725e+03,2.9289e-09
2.2750e+03,2.9528e-09
2.2775e+03,2.9767e-09
2.2800e+03,3.0006e-09
2.2825e+03,2.9710e-09
2.2850e+03,2.9414e-09
2.2875e+03,2.9118e-09
2.2900e+03,2.8822e-09
2.2925e+03,2.8526e-09
2.2950e+03,2.8230e-09
2.2975e+03,2.7934e-09
2.3000e+03,2.7638e-09
2.3025e+03,2.7464e-09
2.3050e+03,2.7290e-09
2.3075e+03,2.7116e-09
2.3100e+03,2.6942e-09
2.3125e+03,2.6768e-09
2.3150e+03,2.6594e-09
2.3175e+03,2.6420e-09
2.3200e+03,2.6246e-09
2.3225e+03,2.6015e-09
2.3250e+03,2.5785e-09
2.3275e+03,2.5553e-09
2.3300e+03,2.5323e-09
2.3325e+03,2.5092e-09
2.3350e+03,2.4861e-09
2.3375e+03,2.4630e-09
2.3400e+03,2.4399e-09
2.3425e+03,2.4473e-09
2.3450e+03,2.4548e-09
2.3475e+03,2.4622e-09
2.3500e+03,2.4696e-09
2.3525e+03,2.4770e-09
2.3550e+03,2.4845e-09
2.3575e+03,2.4919e-09
2.3600e+03,2.4993e-09
2.3625e+03,2.4746e-09
2.3650e+03,2.4500e-09
2.3675e+03,2.4253e-09
2.3700e+03,2.4007e-09
2.3725e+03,2.3760e-09
2.3750e+03,2.3514e-09
2.3775e+03,2.3267e-09
2.3800e+03,2.3021e-09
2.3825e+03,2.2946e-09
2.3850e+03,2.2872e-09
