# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,1.6304e-28
5.1600e+02,3.7542e-28
5.4000e+02,2.3501e-27
5.6400e+02,1.2458e-26
5.8700e+02,5.4676e-26
6.1200e+02,2.4688e-25
6.4000e+02,1.2090e-24
6.7100e+02,6.4271e-24
7.0500e+02,3.6710e-23
7.3600e+02,1.6601e-22
7.7000e+02,7.9094e-22
8.1000e+02,4.3486e-21
8.5000e+02,2.0741e-20
8.9000e+02,8.6472e-20
9.2000e+02,7.8049e-18
9.4000e+02,2.4688e-17
9.6200e+02,4.3391e-17
9.8700e+02,8.0802e-17
1.0120e+03,1.3417e-16
1.0370e+03,2.0921e-16
1.0620e+03,3.4452e-16
1.0870e+03,5.3274e-16
1.1120e+03,1.8151e-14
1.1200e+03,2.1003e-14
1.1400e+03,2.7160e-14
1.1600e+03,3.8948e-14
1.1800e+03,4.9992e-14
1.2000e+03,5.9127e-14
1.2200e+03,8.3438e-14
1.2400e+03,3.1365e-13
1.2600e+03,6.5563e-13
1.2800e+03,8.9619e-13
1.3000e+03,1.1047e-12
1.3200e+03,1.3355e-12
1.3400e+03,1.6115e-12
1.3600e+03,1.8637e-12
1.3800e+03,2.2107e-12
1.4000e+03,2.6602e-12
1.4200e+03,3.1376e-12
1.4400e+03,3.7918e-12
1.4600e+03,4.7626e-12
1.4800e+03,5.4424e-12
1.5000e+03,6.5739e-12
1.5200e+03,8.0452e-11
1.5400e+03,1.2500e-10
1.5600e+03,8.2208e-11
1.5800e+03,1.2639e-10
1.6000e+03,1.4842e-10
1.6200e+03,1.4969e-10
1.6400e+03,2.0587e-10
1.6600e+03,2.6422e-10
1.6800e+03,3.9021e-10
1.7000e+03,4.9050e-10
1.7200e+03,8.4606e-10
1.7400e+03,1.0284e-09
1.7600e+03,1.2618e-09
1.7800e+03,1.3291e-09
1.8000e+03,1.6209e-09
1.8200e+03,1.5864e-09
1.8400e+03,1.4075e-09
1.8600e+03,1.3858e-09
1.8800e+03,1.6628e-09
1.9000e+03,1.5461e-09
1.9200e+03,1.5755e-09
1.9400e+03,1.6008e-09
1.9600e+03,1.7578e-09
1.9800e+03,1.7159e-09
2.0000e+03,1.4987e-09
2.0025e+03,1.4910e-09
2.0050e+03,1.4832e-09
2.0075e+03,1.4755e-09
2.0100e+03,1.4678e-09
2.0125e+03,1.4601e-09
2.0150e+03,1.4523e-09
2.0175e+03,1.4446e-09
2.0200e+03,1.4369e-09
2.0225e+03,1.4539e-09
2.0250e+03,1.4710e-09
2.0275e+03,1.4881e-09
2.0300e+03,1.5052e-09
2.0325e+03,1.5223e-09
2.0350e+03,1.5393e-09
2.0375e+03,1.5564e-09
2.0400e+03,1.5735e-09
2.0425e+03,1.5773e-09
2.0450e+03,1.5812e-09
2.0475e+03,1.5851e-09
2.0500e+03,1.5890e-09
2.0525e+03,1.5928e-09
2.0550e+03,1.5967e-09
2.0575e+03,1.6006e-09
2.0600e+03,1.6045e-09
2.0625e+03,1.6166e-09
2.0650e+03,1.6286e-09
2.0675e+03,1.6407e-09
2.0700e+03,1.6528e-09
2.0725e+03,1.6649e-09
2.0750e+03,1.6769e-09
2.0775e+03,1.6890e-09
2.0800e+03,1.7011e-09
2.0825e+03,1.6972e-09
2.0850e+03,1.6933e-09
2.0875e+03,1.6895e-09
2.0900e+03,1.6856e-09
2.0925e+03,1.6817e-09
2.0950e+03,1.6779e-09
2.0975e+03,1.6740e-09
2.1000e+03,1.6701e-09
2.1025e+03,1.6571e-09
2.1050e+03,1.6442e-09
2.1075e+03,1.6312e-09
2.1100e+03,1.6182e-09
2.1125e+03,1.6053e-09
2.1150e+03,1.5923e-09
2.1175e+03,1.5793e-09
2.1200e+03,1.5664e-09
2.1225e+03,1.5558e-09
2.1250e+03,1.5453e-09
2.1275e+03,1.5348e-09
2.1300e+03,1.5243e-09
2.1325e+03,1.5138e-09
2.1350e+03,1.5033e-09
2.1375e+03,1.4928e-09
2.1400e+03,1.4823e-09
2.1425e+03,1.4766e-09
2.1450e+03,1.4709e-09
2.1475e+03,1.4653e-09
2.1500e+03,1.4596e-09
2.1525e+03,1.4539e-09
2.1550e+03,1.4482e-09
2.1575e+03,1.4426e-09
2.1600e+03,1.4369e-09
2.1625e+03,1.4369e-09
2.1650e+03,1.4369e-09
2.1675e+03,1.4369e-09
2.1700e+03,1.4369e-09
2.1725e+03,1.4369e-09
2.1750e+03,1.4369e-09
2.1775e+03,1.4369e-09
2.1800e+03,1.4369e-09
2.1825e+03,1.4544e-09
2.1850e+03,1.4720e-09
2.1875e+03,1.4895e-09
2.1900e+03,1.5071e-09
2.1925e+03,1.5246e-09
2.1950e+03,1.5422e-09
2.1975e+03,1.5597e-09
2.2000e+03,1.5773e-09
2.2025e+03,1.5793e-09
2.2050e+03,1.5814e-09
2.2075e+03,1.5834e-09
2.2100e+03,1.5854e-09
2.2125e+03,1.5874e-09
2.2150e+03,1.5895e-09
2.2175e+03,1.5915e-09
2.2200e+03,1.5935e-09
2.2225e+03,1.5860e-09
2.2250e+03,1.5785e-09
2.2275e+03,1.5710e-09
2.2300e+03,1.5635e-09
2.2325e+03,1.5560e-09
2.2350e+03,1.5485e-09
2.2375e+03,1.5410e-09
2.2400e+03,1.5335e-09
2.2425e+03,1.5203e-09
2.2450e+03,1.5071e-09
2.2475e+03,1.4938e-09
2.2500e+03,1.4806e-09
2.2525e+03,1.4674e-09
2.2550e+03,1.4542e-09
2.2575e+03,1.4410e-09
2.2600e+03,1.4278e-09
2.2625e+03,1.4227e-09
2.2650e+03,1.4177e-09
2.2675e+03,1.4127e-09
2.2700e+03,1.4076e-09
2.2725e+03,1.4026e-09
2.2750e+03,1.3975e-09
2.2775e+03,1.3925e-09
2.2800e+03,1.3875e-09
2.2825e+03,1.4039e-09
2.2850e+03,1.4203e-09
2.2875e+03,1.4368e-09
2.2900e+03,1.4532e-09
2.2925e+03,1.4696e-09
2.2950e+03,1.4861e-09
2.2975e+03,1.5025e-09
2.3000e+03,1.5189e-09
2.3025e+03,1.5064e-09
2.3050e+03,1.4938e-09
2.3075e+03,1.4813e-09
2.3100e+03,1.4687e-09
2.3125e+03,1.4561e-09
2.3150e+03,1.4436e-09
2.3175e+03,1.4310e-09
2.3200e+03,1.4185e-09
2.3225e+03,1.4032e-09
2.3250e+03,1.3879e-09
2.3275e+03,1.3726e-09
2.3300e+03,1.3574e-09
2.3325e+03,1.3421e-09
2.3350e+03,1.3269e-09
2.3375e+03,1.3116e-09
2.3400e+03,1.2963e-09
2.3425e+03,1.2801e-09
2.3450e+03,1.2640e-09
2.3475e+03,1.2478e-09
2.3500e+03,1.2316e-09
2.3525e+03,1.2155e-09
2.3550e+03,1.1993e-09
2.3575e+03,1.1832e-09
2.3600e+03,1.1670e-09
2.3625e+03,1.1706e-09
2.3650e+03,1.1742e-09
2.3675e+03,1.1779e-09
2.3700e+03,1.1815e-09
2.3725e+03,1.1851e-09
2.3750e+03,1.1887e-09
2.3775e+03,1.1924e-09
2.3800e+03,1.1960e-09
2.3825e+03,1.1792e-09
2.3850e+03,1.1623e-09
