# wavelength, f_lambda
2.2900e+02,1.3531e-24
2.3400e+02,3.8011e-24
2.4300e+02,2.0216e-23
2.5200e+02,9.4613e-23
2.5600e+02,1.7942e-22
2.6000e+02,3.3996e-22
2.6600e+02,8.4252e-22
2.7500e+02,3.0474e-21
2.8300e+02,8.9095e-21
2.9300e+02,3.1234e-20
3.0100e+02,8.0399e-20
3.0900e+02,1.9570e-19
3.2500e+02,1.0233e-18
3.4200e+02,4.9593e-18
3.5100e+02,1.0717e-17
3.5600e+02,1.6153e-17
3.6500e+02,3.2854e-17
3.7500e+02,6.9238e-17
3.8400e+02,1.3085e-16
4.0000e+02,3.7604e-16
4.1500e+02,9.3548e-16
4.2500e+02,1.6504e-15
4.4500e+02,4.7445e-15
4.7200e+02,1.6898e-14
4.9400e+02,4.2526e-14
5.0600e+02,9.0138e-13
5.1600e+02,1.4463e-12
5.4000e+02,2.9352e-12
5.6400e+02,5.5602e-12
5.8700e+02,8.3616e-12
6.1200e+02,1.5400e-11
6.4000e+02,2.4861e-11
6.7100e+02,4.0363e-11
7.0500e+02,6.7428e-11
7.3600e+02,9.8805e-11
7.7000e+02,1.5176e-10
8.1000e+02,2.2662e-10
8.5000e+02,3.1729e-10
8.9000e+02,4.5867e-10
9.2000e+02,2.4868e-09
9.4000e+02,4.3213e-08
9.6200e+02,9.7925e-08
9.8700e+02,1.3746e-07
1.0120e+03,1.5200e-07
1.0370e+03,1.7104e-07
1.0620e+03,1.9570e-07
1.0870e+03,1.8096e-07
1.1120e+03,1.8565e-07
1.1200e+03,1.9129e-07
1.1400e+03,1.9514e-07
1.1600e+03,1.9540e-07
1.1800e+03,1.7462e-07
1.2000e+03,1.0502e-07
1.2200e+03,2.2638e-08
1.2400e+03,1.4054e-07
1.2600e+03,1.5250e-07
1.2800e+03,1.6063e-07
1.3000e+03,1.3333e-07
1.3200e+03,1.5059e-07
1.3400e+03,1.3880e-07
1.3600e+03,1.3241e-07
1.3800e+03,1.2136e-07
1.4000e+03,1.0584e-07
1.4200e+03,1.1862e-07
1.4400e+03,1.2602e-07
1.4600e+03,1.2419e-07
1.4800e+03,1.1689e-07
1.5000e+03,1.1141e-07
1.5200e+03,1.0776e-07
1.5400e+03,1.0776e-07
1.5600e+03,1.0310e-07
1.5800e+03,9.9448e-08
1.6000e+03,8.9302e-08
1.6200e+03,8.7382e-08
1.6400e+03,8.7382e-08
1.6600e+03,7.9265e-08
1.6800e+03,8.2918e-08
1.7000e+03,7.9446e-08
1.7200e+03,7.8170e-08
1.7400e+03,7.4153e-08
1.7600e+03,7.1198e-08
1.7800e+03,6.8246e-08
1.8000e+03,6.5294e-08
1.8200e+03,6.2371e-08
1.8400e+03,5.7249e-08
1.8600e+03,5.9347e-08
1.8800e+03,5.4235e-08
1.9000e+03,5.2600e-08
1.9200e+03,4.9586e-08
1.9400e+03,4.6939e-08
1.9600e+03,4.7568e-08
1.9800e+03,4.3744e-08
2.0000e+03,4.5285e-08
2.0025e+03,4.4827e-08
2.0050e+03,4.4373e-08
2.0075e+03,4.3915e-08
2.0100e+03,4.3460e-08
2.0125e+03,4.3002e-08
2.0150e+03,4.2544e-08
2.0175e+03,4.2090e-08
2.0200e+03,4.1632e-08
2.0225e+03,4.1370e-08
2.0250e+03,4.1108e-08
2.0275e+03,4.0847e-08
2.0300e+03,4.0581e-08
2.0325e+03,4.0319e-08
2.0350e+03,4.0058e-08
2.0375e+03,3.9796e-08
2.0400e+03,3.9534e-08
2.0425e+03,3.9454e-08
2.0450e+03,3.9374e-08
2.0475e+03,3.9291e-08
2.0500e+03,3.9211e-08
2.0525e+03,3.9134e-08
2.0550e+03,3.9054e-08
2.0575e+03,3.8974e-08
2.0600e+03,3.8894e-08
2.0625e+03,3.8676e-08
2.0650e+03,3.8458e-08
2.0675e+03,3.8244e-08
2.0700e+03,3.8026e-08
2.0725e+03,3.7807e-08
2.0750e+03,3.7593e-08
2.0775e+03,3.7375e-08
2.0800e+03,3.7157e-08
2.0825e+03,3.7124e-08
2.0850e+03,3.7091e-08
2.0875e+03,3.7055e-08
2.0900e+03,3.7022e-08
2.0925e+03,3.6986e-08
2.0950e+03,3.6953e-08
2.0975e+03,3.6917e-08
2.1000e+03,3.6884e-08
2.1025e+03,3.6851e-08
2.1050e+03,3.6815e-08
2.1075e+03,3.6782e-08
2.1100e+03,3.6746e-08
2.1125e+03,3.6713e-08
2.1150e+03,3.6677e-08
2.1175e+03,3.6644e-08
2.1200e+03,3.6611e-08
2.1225e+03,3.6415e-08
2.1250e+03,3.6224e-08
2.1275e+03,3.6031e-08
2.1300e+03,3.5839e-08
2.1325e+03,3.5645e-08
2.1350e+03,3.5452e-08
2.1375e+03,3.5260e-08
2.1400e+03,3.5067e-08
2.1425e+03,3.5033e-08
2.1450e+03,3.4998e-08
2.1475e+03,3.4964e-08
2.1500e+03,3.4930e-08
2.1525e+03,3.4896e-08
2.1550e+03,3.4861e-08
2.1575e+03,3.4827e-08
2.1600e+03,3.4793e-08
2.1625e+03,3.4666e-08
2.1650e+03,3.4539e-08
2.1675e+03,3.4413e-08
2.1700e+03,3.4286e-08
2.1725e+03,3.4159e-08
2.1750e+03,3.4032e-08
2.1775e+03,3.3906e-08
2.1800e+03,3.3779e-08
2.1825e+03,3.3655e-08
2.1850e+03,3.3530e-08
2.1875e+03,3.3406e-08
2.1900e+03,3.3281e-08
2.1925e+03,3.3157e-08
2.1950e+03,3.3032e-08
2.1975e+03,3.2908e-08
2.2000e+03,3.2784e-08
2.2025e+03,3.2680e-08
2.2050e+03,3.2576e-08
2.2075e+03,3.2472e-08
2.2100e+03,3.2368e-08
