# wavelength, f_lambda
2.2900e+02,9.3848e-25
2.3400e+02,2.6364e-24
2.4300e+02,1.4021e-23
2.5200e+02,6.5623e-23
2.5600e+02,1.2444e-22
2.6000e+02,2.3579e-22
2.6600e+02,5.8435e-22
2.7500e+02,2.1137e-21
2.8300e+02,6.1796e-21
2.9300e+02,2.1664e-20
3.0100e+02,5.5763e-20
3.0900e+02,1.3573e-19
3.2500e+02,7.0975e-19
3.4200e+02,3.4397e-18
3.5100e+02,7.4336e-18
3.5600e+02,1.1204e-17
3.6500e+02,2.2787e-17
3.7500e+02,4.8022e-17
3.8400e+02,9.0757e-17
4.0000e+02,2.6081e-16
4.1500e+02,6.4884e-16
4.2500e+02,1.1447e-15
4.4500e+02,3.2908e-15
4.7200e+02,1.1721e-14
4.9400e+02,2.9496e-14
5.0600e+02,6.2520e-13
5.1600e+02,1.0031e-12
5.4000e+02,2.0358e-12
5.6400e+02,3.8566e-12
5.8700e+02,5.7995e-12
6.1200e+02,1.0681e-11
6.4000e+02,1.7244e-11
6.7100e+02,2.7996e-11
7.0500e+02,4.6766e-11
7.3600e+02,6.8532e-11
7.7000e+02,1.0526e-10
8.1000e+02,1.5718e-10
8.5000e+02,2.2007e-10
8.9000e+02,3.1813e-10
9.2000e+02,1.7248e-09
9.4000e+02,2.9972e-08
9.6200e+02,6.7920e-08
9.8700e+02,9.5341e-08
1.0120e+03,1.0543e-07
1.0370e+03,1.1863e-07
1.0620e+03,1.3573e-07
1.0870e+03,1.2551e-07
1.1120e+03,1.2877e-07
1.1200e+03,1.3268e-07
1.1400e+03,1.3535e-07
1.1600e+03,1.3553e-07
1.1800e+03,1.2112e-07
1.2000e+03,7.2839e-08
1.2200e+03,1.5702e-08
1.2400e+03,9.7478e-08
1.2600e+03,1.0578e-07
1.2800e+03,1.1141e-07
1.3000e+03,9.2475e-08
1.3200e+03,1.0444e-07
1.3400e+03,9.6273e-08
1.3600e+03,9.1842e-08
1.3800e+03,8.4177e-08
1.4000e+03,7.3407e-08
1.4200e+03,8.2277e-08
1.4400e+03,8.7407e-08
1.4600e+03,8.6140e-08
1.4800e+03,8.1072e-08
1.5000e+03,7.7274e-08
1.5200e+03,7.4740e-08
1.5400e+03,7.4740e-08
1.5600e+03,7.1510e-08
1.5800e+03,6.8976e-08
1.6000e+03,6.1938e-08
1.6200e+03,6.0609e-08
1.6400e+03,6.0609e-08
1.6600e+03,5.4976e-08
1.6800e+03,5.7510e-08
1.7000e+03,5.5104e-08
1.7200e+03,5.4219e-08
1.7400e+03,5.1430e-08
1.7600e+03,4.9384e-08
1.7800e+03,4.7334e-08
1.8000e+03,4.5287e-08
1.8200e+03,4.3259e-08
1.8400e+03,3.9706e-08
1.8600e+03,4.1162e-08
1.8800e+03,3.7616e-08
1.9000e+03,3.6483e-08
1.9200e+03,3.4393e-08
1.9400e+03,3.2556e-08
1.9600e+03,3.2993e-08
1.9800e+03,3.0339e-08
2.0000e+03,3.1410e-08
2.0025e+03,3.1093e-08
2.0050e+03,3.0776e-08
2.0075e+03,3.0460e-08
2.0100e+03,3.0143e-08
2.0125e+03,2.9826e-08
2.0150e+03,2.9509e-08
2.0175e+03,2.9192e-08
2.0200e+03,2.8876e-08
2.0225e+03,2.8694e-08
2.0250e+03,2.8512e-08
2.0275e+03,2.8330e-08
2.0300e+03,2.8148e-08
2.0325e+03,2.7965e-08
2.0350e+03,2.7783e-08
2.0375e+03,2.7601e-08
2.0400e+03,2.7419e-08
2.0425e+03,2.7364e-08
2.0450e+03,2.7308e-08
2.0475e+03,2.7253e-08
2.0500e+03,2.7198e-08
2.0525e+03,2.7142e-08
2.0550e+03,2.7087e-08
2.0575e+03,2.7031e-08
2.0600e+03,2.6976e-08
2.0625e+03,2.6825e-08
2.0650e+03,2.6675e-08
2.0675e+03,2.6525e-08
