# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,2.4210e-16
5.1600e+02,3.9931e-16
5.4000e+02,1.0536e-15
5.6400e+02,2.5702e-15
5.8700e+02,5.2695e-15
6.1200e+02,1.1864e-14
6.4000e+02,2.5800e-14
6.7100e+02,5.6692e-14
7.0500e+02,1.2514e-13
7.3600e+02,2.3942e-13
7.7000e+02,4.6206e-13
8.1000e+02,9.2018e-13
8.5000e+02,1.7088e-12
8.9000e+02,3.0235e-12
9.2000e+02,5.0028e-11
9.4000e+02,6.1823e-10
9.6200e+02,5.0382e-09
9.8700e+02,1.7594e-08
1.0120e+03,1.7532e-08
1.0370e+03,1.9202e-08
1.0620e+03,3.2563e-08
1.0870e+03,2.9306e-08
1.1120e+03,3.9567e-08
1.1200e+03,4.0904e-08
1.1400e+03,4.3947e-08
1.1600e+03,4.5390e-08
1.1800e+03,3.8252e-08
1.2000e+03,2.0356e-08
1.2200e+03,1.3302e-08
1.2400e+03,3.3018e-08
1.2600e+03,4.4581e-08
1.2800e+03,4.5302e-08
1.3000e+03,4.2610e-08
1.3200e+03,4.5812e-08
1.3400e+03,4.6763e-08
1.3600e+03,4.6246e-08
1.3800e+03,4.7638e-08
1.4000e+03,4.5739e-08
1.4200e+03,4.5594e-08
1.4400e+03,4.8436e-08
1.4600e+03,4.8873e-08
1.4800e+03,4.6108e-08
1.5000e+03,4.5302e-08
1.5200e+03,4.4654e-08
1.5400e+03,4.4362e-08
1.5600e+03,4.3484e-08
1.5800e+03,4.1301e-08
1.6000e+03,3.8474e-08
1.6200e+03,3.5775e-08
1.6400e+03,3.4320e-08
1.6600e+03,3.4037e-08
1.6800e+03,3.4757e-08
1.7000e+03,3.3520e-08
1.7200e+03,3.1127e-08
1.7400e+03,3.0037e-08
1.7600e+03,2.9964e-08
1.7800e+03,2.9818e-08
1.8000e+03,2.3709e-08
1.8200e+03,2.3920e-08
1.8400e+03,2.2545e-08
1.8600e+03,2.3411e-08
1.8800e+03,2.1811e-08
1.9000e+03,2.0800e-08
1.9200e+03,2.1236e-08
1.9400e+03,2.0800e-08
1.9600e+03,2.0073e-08
1.9800e+03,1.9127e-08
2.0000e+03,1.8320e-08
2.0025e+03,1.8248e-08
2.0050e+03,1.8176e-08
2.0075e+03,1.8105e-08
2.0100e+03,1.8033e-08
2.0125e+03,1.7961e-08
2.0150e+03,1.7889e-08
2.0175e+03,1.7817e-08
2.0200e+03,1.7746e-08
2.0225e+03,1.7726e-08
2.0250e+03,1.7707e-08
2.0275e+03,1.7688e-08
2.0300e+03,1.7669e-08
2.0325e+03,1.7650e-08
2.0350e+03,1.7631e-08
2.0375e+03,1.7612e-08
2.0400e+03,1.7593e-08
2.0425e+03,1.7521e-08
2.0450e+03,1.7449e-08
2.0475e+03,1.7377e-08
2.0500e+03,1.7305e-08
2.0525e+03,1.7234e-08
2.0550e+03,1.7162e-08
2.0575e+03,1.7090e-08
2.0600e+03,1.7018e-08
2.0625e+03,1.6963e-08
2.0650e+03,1.6907e-08
2.0675e+03,1.6852e-08
2.0700e+03,1.6796e-08
2.0725e+03,1.6741e-08
2.0750e+03,1.6686e-08
2.0775e+03,1.6630e-08
2.0800e+03,1.6575e-08
2.0825e+03,1.6594e-08
2.0850e+03,1.6613e-08
2.0875e+03,1.6632e-08
2.0900e+03,1.6651e-08
2.0925e+03,1.6670e-08
2.0950e+03,1.6689e-08
2.0975e+03,1.6708e-08
2.1000e+03,1.6727e-08
2.1025e+03,1.6717e-08
2.1050e+03,1.6707e-08
2.1075e+03,1.6697e-08
2.1100e+03,1.6687e-08
2.1125e+03,1.6677e-08
2.1150e+03,1.6667e-08
2.1175e+03,1.6657e-08
2.1200e+03,1.6647e-08
2.1225e+03,1.6565e-08
2.1250e+03,1.6484e-08
2.1275e+03,1.6402e-08
2.1300e+03,1.6320e-08
2.1325e+03,1.6238e-08
2.1350e+03,1.6157e-08
2.1375e+03,1.6075e-08
2.1400e+03,1.5993e-08
2.1425e+03,1.6002e-08
2.1450e+03,1.6011e-08
2.1475e+03,1.6020e-08
2.1500e+03,1.6029e-08
2.1525e+03,1.6038e-08
2.1550e+03,1.6047e-08
2.1575e+03,1.6056e-08
2.1600e+03,1.6065e-08
2.1625e+03,1.6003e-08
2.1650e+03,1.5940e-08
2.1675e+03,1.5877e-08
2.1700e+03,1.5814e-08
2.1725e+03,1.5752e-08
2.1750e+03,1.5689e-08
2.1775e+03,1.5626e-08
2.1800e+03,1.5564e-08
2.1825e+03,1.5491e-08
2.1850e+03,1.5418e-08
2.1875e+03,1.5345e-08
2.1900e+03,1.5273e-08
2.1925e+03,1.5200e-08
2.1950e+03,1.5127e-08
2.1975e+03,1.5055e-08
2.2000e+03,1.4982e-08
2.2025e+03,1.4909e-08
2.2050e+03,1.4836e-08
2.2075e+03,1.4764e-08
2.2100e+03,1.4691e-08
2.2125e+03,1.4618e-08
2.2150e+03,1.4545e-08
2.2175e+03,1.4473e-08
2.2200e+03,1.4400e-08
2.2225e+03,1.4318e-08
2.2250e+03,1.4236e-08
2.2275e+03,1.4155e-08
2.2300e+03,1.4073e-08
2.2325e+03,1.3991e-08
2.2350e+03,1.3909e-08
2.2375e+03,1.3827e-08
2.2400e+03,1.3746e-08
2.2425e+03,1.3781e-08
2.2450e+03,1.3816e-08
2.2475e+03,1.3852e-08
2.2500e+03,1.3887e-08
2.2525e+03,1.3923e-08
2.2550e+03,1.3958e-08
2.2575e+03,1.3994e-08
2.2600e+03,1.4029e-08
2.2625e+03,1.4038e-08
2.2650e+03,1.4047e-08
2.2675e+03,1.4056e-08
2.2700e+03,1.4065e-08
2.2725e+03,1.4075e-08
2.2750e+03,1.4084e-08
2.2775e+03,1.4093e-08
2.2800e+03,1.4102e-08
2.2825e+03,1.4085e-08
2.2850e+03,1.4067e-08
2.2875e+03,1.4050e-08
2.2900e+03,1.4033e-08
2.2925e+03,1.4016e-08
2.2950e+03,1.3998e-08
2.2975e+03,1.3981e-08
2.3000e+03,1.3964e-08
2.3025e+03,1.3936e-08
2.3050e+03,1.3909e-08
2.3075e+03,1.3882e-08
2.3100e+03,1.3854e-08
2.3125e+03,1.3827e-08
2.3150e+03,1.3800e-08
2.3175e+03,1.3773e-08
2.3200e+03,1.3746e-08
2.3225e+03,1.3690e-08
2.3250e+03,1.3634e-08
2.3275e+03,1.3579e-08
2.3300e+03,1.3524e-08
2.3325e+03,1.3468e-08
2.3350e+03,1.3413e-08
2.3375e+03,1.3357e-08
2.3400e+03,1.3302e-08
2.3425e+03,1.3257e-08
2.3450e+03,1.3213e-08
2.3475e+03,1.3168e-08
2.3500e+03,1.3124e-08
2.3525e+03,1.3079e-08
2.3550e+03,1.3035e-08
2.3575e+03,1.2990e-08
2.3600e+03,1.2945e-08
2.3625e+03,1.2927e-08
2.3650e+03,1.2909e-08
2.3675e+03,1.2891e-08
2.3700e+03,1.2873e-08
2.3725e+03,1.2855e-08
2.3750e+03,1.2836e-08
2.3775e+03,1.2818e-08
2.3800e+03,1.2800e-08
2.3825e+03,1.2873e-08
2.3850e+03,1.2945e-08
