# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,2.0010e-16
5.1600e+02,3.3005e-16
5.4000e+02,8.7083e-16
5.6400e+02,2.1243e-15
5.8700e+02,4.3552e-15
6.1200e+02,9.8056e-15
6.4000e+02,2.1325e-14
6.7100e+02,4.6859e-14
7.0500e+02,1.0343e-13
7.3600e+02,1.9789e-13
7.7000e+02,3.8192e-13
8.1000e+02,7.6056e-13
8.5000e+02,1.4124e-12
8.9000e+02,2.4991e-12
9.2000e+02,4.1349e-11
9.4000e+02,5.1098e-10
9.6200e+02,4.1641e-09
9.8700e+02,1.4542e-08
1.0120e+03,1.4491e-08
1.0370e+03,1.5871e-08
1.0620e+03,2.6914e-08
1.0870e+03,2.4222e-08
1.1120e+03,3.2703e-08
1.1200e+03,3.3810e-08
1.1400e+03,3.6323e-08
1.1600e+03,3.7518e-08
1.1800e+03,3.1617e-08
1.2000e+03,1.6826e-08
1.2200e+03,1.0995e-08
1.2400e+03,2.7291e-08
1.2600e+03,3.6848e-08
1.2800e+03,3.7445e-08
1.3000e+03,3.5220e-08
1.3200e+03,3.7864e-08
1.3400e+03,3.8651e-08
1.3600e+03,3.8224e-08
1.3800e+03,3.9375e-08
1.4000e+03,3.7806e-08
1.4200e+03,3.7686e-08
1.4400e+03,4.0034e-08
1.4600e+03,4.0395e-08
1.4800e+03,3.8112e-08
1.5000e+03,3.7445e-08
1.5200e+03,3.6910e-08
1.5400e+03,3.6669e-08
1.5600e+03,3.5941e-08
1.5800e+03,3.4138e-08
1.6000e+03,3.1799e-08
1.6200e+03,2.9569e-08
1.6400e+03,2.8367e-08
1.6600e+03,2.8133e-08
1.6800e+03,2.8728e-08
1.7000e+03,2.7706e-08
1.7200e+03,2.5728e-08
1.7400e+03,2.4826e-08
1.7600e+03,2.4766e-08
1.7800e+03,2.4646e-08
1.8000e+03,1.9597e-08
1.8200e+03,1.9771e-08
1.8400e+03,1.8635e-08
1.8600e+03,1.9350e-08
1.8800e+03,1.8028e-08
1.9000e+03,1.7192e-08
1.9200e+03,1.7553e-08
1.9400e+03,1.7192e-08
1.9600e+03,1.6591e-08
1.9800e+03,1.5809e-08
2.0000e+03,1.5142e-08
2.0025e+03,1.5083e-08
2.0050e+03,1.5024e-08
2.0075e+03,1.4964e-08
2.0100e+03,1.4905e-08
2.0125e+03,1.4845e-08
2.0150e+03,1.4786e-08
2.0175e+03,1.4727e-08
2.0200e+03,1.4667e-08
2.0225e+03,1.4651e-08
2.0250e+03,1.4636e-08
2.0275e+03,1.4620e-08
2.0300e+03,1.4604e-08
2.0325e+03,1.4588e-08
2.0350e+03,1.4573e-08
2.0375e+03,1.4557e-08
2.0400e+03,1.4541e-08
2.0425e+03,1.4482e-08
2.0450e+03,1.4422e-08
2.0475e+03,1.4363e-08
2.0500e+03,1.4304e-08
2.0525e+03,1.4244e-08
2.0550e+03,1.4185e-08
2.0575e+03,1.4126e-08
2.0600e+03,1.4066e-08
2.0625e+03,1.4020e-08
2.0650e+03,1.3975e-08
2.0675e+03,1.3929e-08
2.0700e+03,1.3883e-08
2.0725e+03,1.3837e-08
2.0750e+03,1.3791e-08
2.0775e+03,1.3745e-08
2.0800e+03,1.3699e-08
2.0825e+03,1.3715e-08
2.0850e+03,1.3731e-08
2.0875e+03,1.3747e-08
2.0900e+03,1.3763e-08
2.0925e+03,1.3778e-08
2.0950e+03,1.3794e-08
2.0975e+03,1.3810e-08
2.1000e+03,1.3826e-08
2.1025e+03,1.3817e-08
2.1050e+03,1.3809e-08
2.1075e+03,1.3801e-08
2.1100e+03,1.3793e-08
2.1125e+03,1.3785e-08
2.1150e+03,1.3776e-08
2.1175e+03,1.3768e-08
2.1200e+03,1.3760e-08
2.1225e+03,1.3692e-08
2.1250e+03,1.3624e-08
2.1275e+03,1.3557e-08
2.1300e+03,1.3489e-08
2.1325e+03,1.3422e-08
2.1350e+03,1.3354e-08
2.1375e+03,1.3286e-08
2.1400e+03,1.3219e-08
2.1425e+03,1.3226e-08
2.1450e+03,1.3234e-08
2.1475e+03,1.3241e-08
2.1500e+03,1.3249e-08
2.1525e+03,1.3256e-08
2.1550e+03,1.3264e-08
2.1575e+03,1.3271e-08
2.1600e+03,1.3279e-08
2.1625e+03,1.3227e-08
2.1650e+03,1.3175e-08
2.1675e+03,1.3123e-08
2.1700e+03,1.3072e-08
2.1725e+03,1.3019e-08
2.1750e+03,1.2968e-08
2.1775e+03,1.2916e-08
2.1800e+03,1.2864e-08
2.1825e+03,1.2804e-08
2.1850e+03,1.2744e-08
2.1875e+03,1.2684e-08
2.1900e+03,1.2624e-08
2.1925e+03,1.2564e-08
2.1950e+03,1.2503e-08
2.1975e+03,1.2443e-08
2.2000e+03,1.2383e-08
2.2025e+03,1.2323e-08
2.2050e+03,1.2263e-08
2.2075e+03,1.2203e-08
2.2100e+03,1.2143e-08
2.2125e+03,1.2082e-08
2.2150e+03,1.2022e-08
2.2175e+03,1.1962e-08
2.2200e+03,1.1902e-08
2.2225e+03,1.1834e-08
2.2250e+03,1.1767e-08
2.2275e+03,1.1699e-08
2.2300e+03,1.1632e-08
2.2325e+03,1.1564e-08
2.2350e+03,1.1496e-08
2.2375e+03,1.1429e-08
2.2400e+03,1.1361e-08
2.2425e+03,1.1391e-08
2.2450e+03,1.1420e-08
2.2475e+03,1.1449e-08
2.2500e+03,1.1478e-08
2.2525e+03,1.1508e-08
2.2550e+03,1.1537e-08
2.2575e+03,1.1566e-08
2.2600e+03,1.1596e-08
2.2625e+03,1.1603e-08
2.2650e+03,1.1610e-08
2.2675e+03,1.1618e-08
2.2700e+03,1.1626e-08
2.2725e+03,1.1633e-08
2.2750e+03,1.1641e-08
2.2775e+03,1.1648e-08
2.2800e+03,1.1656e-08
2.2825e+03,1.1641e-08
2.2850e+03,1.1627e-08
2.2875e+03,1.1613e-08
2.2900e+03,1.1598e-08
2.2925e+03,1.1584e-08
2.2950e+03,1.1570e-08
2.2975e+03,1.1556e-08
2.3000e+03,1.1542e-08
2.3025e+03,1.1519e-08
2.3050e+03,1.1496e-08
2.3075e+03,1.1474e-08
2.3100e+03,1.1451e-08
2.3125e+03,1.1429e-08
2.3150e+03,1.1406e-08
2.3175e+03,1.1384e-08
2.3200e+03,1.1361e-08
2.3225e+03,1.1315e-08
2.3250e+03,1.1270e-08
2.3275e+03,1.1224e-08
2.3300e+03,1.1178e-08
2.3325e+03,1.1132e-08
2.3350e+03,1.1086e-08
2.3375e+03,1.1040e-08
2.3400e+03,1.0995e-08
2.3425e+03,1.0958e-08
2.3450e+03,1.0921e-08
2.3475e+03,1.0884e-08
2.3500e+03,1.0847e-08
2.3525e+03,1.0810e-08
2.3550e+03,1.0774e-08
2.3575e+03,1.0737e-08
2.3600e+03,1.0700e-08
2.3625e+03,1.0685e-08
2.3650e+03,1.0670e-08
2.3675e+03,1.0655e-08
2.3700e+03,1.0640e-08
2.3725e+03,1.0625e-08
2.3750e+03,1.0610e-08
2.3775e+03,1.0595e-08
2.3800e+03,1.0580e-08
2.3825e+03,1.0640e-08
2.3850e+03,1.0700e-08
