# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,4.9927e-24
5.1600e+02,1.0577e-23
5.4000e+02,5.6034e-23
5.6400e+02,2.6171e-22
5.8700e+02,1.0428e-21
6.1200e+02,4.2836e-21
6.4000e+02,1.8712e-20
6.7100e+02,8.5283e-20
7.0500e+02,3.9248e-19
7.3600e+02,1.4084e-18
7.7000e+02,5.1008e-18
8.1000e+02,2.0184e-17
8.5000e+02,6.9938e-17
8.9000e+02,2.1544e-16
9.2000e+02,2.8703e-14
9.4000e+02,1.2230e-13
9.6200e+02,2.0640e-13
9.8700e+02,3.7042e-13
1.0120e+03,5.3785e-13
1.0370e+03,7.3367e-13
1.0620e+03,1.1094e-12
1.0870e+03,1.5239e-12
1.1120e+03,4.2320e-11
1.1200e+03,4.6673e-11
1.1400e+03,4.2858e-11
1.1600e+03,4.0387e-11
1.1800e+03,2.3345e-11
1.2000e+03,1.1582e-11
1.2200e+03,1.0975e-11
1.2400e+03,1.9164e-10
1.2600e+03,8.4756e-10
1.2800e+03,3.9426e-09
1.3000e+03,6.1596e-09
1.3200e+03,9.3964e-09
1.3400e+03,1.1118e-08
1.3600e+03,1.1309e-08
1.3800e+03,1.2392e-08
1.4000e+03,1.3054e-08
1.4200e+03,1.4588e-08
1.4400e+03,1.4992e-08
1.4600e+03,1.6715e-08
1.4800e+03,1.5910e-08
1.5000e+03,1.8533e-08
1.5200e+03,1.8651e-08
1.5400e+03,1.8982e-08
1.5600e+03,1.8439e-08
1.5800e+03,1.8059e-08
1.6000e+03,1.7350e-08
1.6200e+03,1.6101e-08
1.6400e+03,1.5580e-08
1.6600e+03,1.4496e-08
1.6800e+03,1.5724e-08
1.7000e+03,1.5462e-08
1.7200e+03,1.5249e-08
1.7400e+03,1.5414e-08
1.7600e+03,1.5532e-08
1.7800e+03,1.5698e-08
1.8000e+03,1.5863e-08
1.8200e+03,1.5367e-08
1.8400e+03,1.5084e-08
1.8600e+03,1.5249e-08
1.8800e+03,1.5037e-08
1.9000e+03,1.4496e-08
1.9200e+03,1.4166e-08
1.9400e+03,1.3927e-08
1.9600e+03,1.3596e-08
1.9800e+03,1.3009e-08
2.0000e+03,1.2440e-08
2.0025e+03,1.2390e-08
2.0050e+03,1.2340e-08
2.0075e+03,1.2290e-08
2.0100e+03,1.2240e-08
2.0125e+03,1.2190e-08
2.0150e+03,1.2140e-08
2.0175e+03,1.2091e-08
2.0200e+03,1.2041e-08
2.0225e+03,1.2020e-08
2.0250e+03,1.1999e-08
2.0275e+03,1.1979e-08
2.0300e+03,1.1958e-08
2.0325e+03,1.1937e-08
2.0350e+03,1.1917e-08
2.0375e+03,1.1896e-08
2.0400e+03,1.1875e-08
2.0425e+03,1.1843e-08
2.0450e+03,1.1810e-08
2.0475e+03,1.1777e-08
2.0500e+03,1.1744e-08
2.0525e+03,1.1712e-08
2.0550e+03,1.1679e-08
2.0575e+03,1.1646e-08
2.0600e+03,1.1613e-08
2.0625e+03,1.1596e-08
2.0650e+03,1.1578e-08
2.0675e+03,1.1561e-08
2.0700e+03,1.1544e-08
2.0725e+03,1.1526e-08
2.0750e+03,1.1509e-08
2.0775e+03,1.1491e-08
2.0800e+03,1.1474e-08
2.0825e+03,1.1459e-08
2.0850e+03,1.1445e-08
2.0875e+03,1.1430e-08
2.0900e+03,1.1415e-08
2.0925e+03,1.1400e-08
2.0950e+03,1.1386e-08
2.0975e+03,1.1371e-08
2.1000e+03,1.1356e-08
2.1025e+03,1.1291e-08
2.1050e+03,1.1225e-08
2.1075e+03,1.1160e-08
2.1100e+03,1.1095e-08
2.1125e+03,1.1030e-08
2.1150e+03,1.0965e-08
2.1175e+03,1.0899e-08
2.1200e+03,1.0834e-08
2.1225e+03,1.0790e-08
2.1250e+03,1.0746e-08
2.1275e+03,1.0702e-08
2.1300e+03,1.0658e-08
2.1325e+03,1.0614e-08
2.1350e+03,1.0570e-08
2.1375e+03,1.0527e-08
2.1400e+03,1.0483e-08
2.1425e+03,1.0503e-08
2.1450e+03,1.0524e-08
2.1475e+03,1.0544e-08
2.1500e+03,1.0565e-08
2.1525e+03,1.0586e-08
2.1550e+03,1.0606e-08
2.1575e+03,1.0627e-08
2.1600e+03,1.0648e-08
2.1625e+03,1.0597e-08
2.1650e+03,1.0547e-08
2.1675e+03,1.0496e-08
2.1700e+03,1.0446e-08
2.1725e+03,1.0396e-08
2.1750e+03,1.0345e-08
2.1775e+03,1.0294e-08
2.1800e+03,1.0244e-08
2.1825e+03,1.0221e-08
2.1850e+03,1.0198e-08
2.1875e+03,1.0174e-08
2.1900e+03,1.0151e-08
2.1925e+03,1.0127e-08
2.1950e+03,1.0104e-08
2.1975e+03,1.0081e-08
2.2000e+03,1.0057e-08
2.2025e+03,1.0019e-08
2.2050e+03,9.9802e-09
2.2075e+03,9.9417e-09
2.2100e+03,9.9027e-09
2.2125e+03,9.8641e-09
2.2150e+03,9.8256e-09
2.2175e+03,9.7870e-09
2.2200e+03,9.7484e-09
2.2225e+03,9.7484e-09
2.2250e+03,9.7484e-09
2.2275e+03,9.7484e-09
2.2300e+03,9.7484e-09
2.2325e+03,9.7484e-09
2.2350e+03,9.7484e-09
2.2375e+03,9.7484e-09
2.2400e+03,9.7484e-09
2.2425e+03,9.6836e-09
2.2450e+03,9.6188e-09
2.2475e+03,9.5544e-09
2.2500e+03,9.4896e-09
2.2525e+03,9.4252e-09
2.2550e+03,9.3604e-09
2.2575e+03,9.2956e-09
2.2600e+03,9.2312e-09
2.2625e+03,9.2694e-09
2.2650e+03,9.3080e-09
2.2675e+03,9.3462e-09
2.2700e+03,9.3848e-09
2.2725e+03,9.4230e-09
2.2750e+03,9.4612e-09
2.2775e+03,9.4998e-09
2.2800e+03,9.5380e-09
2.2825e+03,9.5173e-09
2.2850e+03,9.4969e-09
2.2875e+03,9.4761e-09
2.2900e+03,9.4554e-09
2.2925e+03,9.4346e-09
2.2950e+03,9.4143e-09
2.2975e+03,9.3935e-09
2.3000e+03,9.3728e-09
2.3025e+03,9.3578e-09
2.3050e+03,9.3429e-09
2.3075e+03,9.3276e-09
2.3100e+03,9.3127e-09
2.3125e+03,9.2974e-09
2.3150e+03,9.2825e-09
2.3175e+03,9.2676e-09
2.3200e+03,9.2523e-09
2.3225e+03,9.2083e-09
2.3250e+03,9.1638e-09
2.3275e+03,9.1194e-09
2.3300e+03,9.0754e-09
2.3325e+03,9.0310e-09
2.3350e+03,8.9870e-09
2.3375e+03,8.9426e-09
2.3400e+03,8.8981e-09
2.3425e+03,8.8956e-09
2.3450e+03,8.8930e-09
2.3475e+03,8.8901e-09
2.3500e+03,8.8876e-09
2.3525e+03,8.8850e-09
2.3550e+03,8.8825e-09
2.3575e+03,8.8796e-09
2.3600e+03,8.8770e-09
2.3625e+03,8.8264e-09
2.3650e+03,8.7762e-09
2.3675e+03,8.7256e-09
2.3700e+03,8.6750e-09
2.3725e+03,8.6248e-09
2.3750e+03,8.5742e-09
2.3775e+03,8.5240e-09
2.3800e+03,8.4734e-09
2.3825e+03,8.4646e-09
2.3850e+03,8.4563e-09
