# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,8.4462e-20
9.4000e+02,2.6040e-19
9.6200e+02,4.7348e-19
9.8700e+02,9.1031e-19
1.0120e+03,1.5809e-18
1.0370e+03,2.5639e-18
1.0620e+03,4.3587e-18
1.0870e+03,6.9903e-18
1.1120e+03,2.8219e-16
1.1200e+03,3.0896e-16
1.1400e+03,4.2916e-16
1.1600e+03,6.6595e-16
1.1800e+03,9.1944e-16
1.2000e+03,1.2453e-15
1.2200e+03,1.8380e-15
1.2400e+03,3.9169e-15
1.2600e+03,6.8085e-15
1.2800e+03,9.1947e-15
1.3000e+03,1.2289e-14
1.3200e+03,1.5884e-14
1.3400e+03,2.0069e-14
1.3600e+03,2.5359e-14
1.3800e+03,3.2226e-14
1.4000e+03,4.1353e-14
1.4200e+03,5.1843e-14
1.4400e+03,6.4696e-14
1.4600e+03,8.1782e-14
1.4800e+03,1.0040e-13
1.5000e+03,1.2618e-13
1.5200e+03,3.5582e-13
1.5400e+03,5.4414e-13
1.5600e+03,5.3837e-13
1.5800e+03,7.1346e-13
1.6000e+03,8.9274e-13
1.6200e+03,1.0404e-12
1.6400e+03,1.1464e-12
1.6600e+03,1.1919e-12
1.6800e+03,3.1515e-11
1.7000e+03,4.6881e-11
1.7200e+03,5.6546e-11
1.7400e+03,7.4285e-11
1.7600e+03,7.1181e-11
1.7800e+03,9.3061e-11
1.8000e+03,7.8849e-11
1.8200e+03,5.5057e-11
1.8400e+03,6.5292e-11
1.8600e+03,9.4058e-11
1.8800e+03,1.0529e-10
1.9000e+03,1.1723e-10
1.9200e+03,1.3317e-10
1.9400e+03,1.0899e-10
1.9600e+03,1.1556e-10
1.9800e+03,1.5455e-10
2.0000e+03,1.5103e-10
2.0025e+03,1.4845e-10
2.0050e+03,1.4588e-10
2.0075e+03,1.4330e-10
2.0100e+03,1.4072e-10
2.0125e+03,1.3815e-10
2.0150e+03,1.3557e-10
2.0175e+03,1.3299e-10
2.0200e+03,1.3042e-10
2.0225e+03,1.3184e-10
2.0250e+03,1.3326e-10
2.0275e+03,1.3468e-10
2.0300e+03,1.3610e-10
2.0325e+03,1.3752e-10
2.0350e+03,1.3894e-10
2.0375e+03,1.4036e-10
2.0400e+03,1.4178e-10
2.0425e+03,1.4002e-10
2.0450e+03,1.3826e-10
2.0475e+03,1.3651e-10
2.0500e+03,1.3475e-10
2.0525e+03,1.3299e-10
2.0550e+03,1.3124e-10
2.0575e+03,1.2948e-10
2.0600e+03,1.2772e-10
2.0625e+03,1.5610e-10
2.0650e+03,1.8447e-10
2.0675e+03,2.1284e-10
2.0700e+03,2.4121e-10
2.0725e+03,2.6958e-10
2.0750e+03,2.9795e-10
2.0775e+03,3.2633e-10
2.0800e+03,3.5470e-10
2.0825e+03,3.6353e-10
2.0850e+03,3.7238e-10
2.0875e+03,3.8121e-10
2.0900e+03,3.9005e-10
2.0925e+03,3.9885e-10
2.0950e+03,4.0768e-10
2.0975e+03,4.1652e-10
2.1000e+03,4.2536e-10
2.1025e+03,4.3284e-10
2.1050e+03,4.4037e-10
2.1075e+03,4.4785e-10
2.1100e+03,4.5537e-10
2.1125e+03,4.6286e-10
2.1150e+03,4.7038e-10
2.1175e+03,4.7787e-10
2.1200e+03,4.8535e-10
2.1225e+03,4.9156e-10
2.1250e+03,4.9777e-10
2.1275e+03,5.0394e-10
2.1300e+03,5.1014e-10
2.1325e+03,5.1632e-10
2.1350e+03,5.2252e-10
2.1375e+03,5.2873e-10
2.1400e+03,5.3490e-10
2.1425e+03,5.3972e-10
2.1450e+03,5.4450e-10
2.1475e+03,5.4929e-10
2.1500e+03,5.5411e-10
2.1525e+03,5.5889e-10
2.1550e+03,5.6367e-10
2.1575e+03,5.6846e-10
2.1600e+03,5.7328e-10
2.1625e+03,5.7196e-10
2.1650e+03,5.7069e-10
2.1675e+03,5.6941e-10
2.1700e+03,5.6809e-10
2.1725e+03,5.6682e-10
2.1750e+03,5.6554e-10
2.1775e+03,5.6422e-10
2.1800e+03,5.6294e-10
2.1825e+03,5.6170e-10
2.1850e+03,5.6043e-10
2.1875e+03,5.5918e-10
2.1900e+03,5.5791e-10
2.1925e+03,5.5666e-10
2.1950e+03,5.5539e-10
2.1975e+03,5.5414e-10
2.2000e+03,5.5287e-10
2.2025e+03,5.5210e-10
2.2050e+03,5.5130e-10
2.2075e+03,5.5049e-10
2.2100e+03,5.4969e-10
2.2125e+03,5.4889e-10
2.2150e+03,5.4812e-10
2.2175e+03,5.4732e-10
2.2200e+03,5.4651e-10
2.2225e+03,5.5097e-10
2.2250e+03,5.5542e-10
2.2275e+03,5.5988e-10
2.2300e+03,5.6433e-10
2.2325e+03,5.6882e-10
2.2350e+03,5.7328e-10
2.2375e+03,5.7773e-10
2.2400e+03,5.8219e-10
2.2425e+03,5.8153e-10
2.2450e+03,5.8091e-10
2.2475e+03,5.8029e-10
2.2500e+03,5.7963e-10
2.2525e+03,5.7901e-10
2.2550e+03,5.7835e-10
2.2575e+03,5.7773e-10
2.2600e+03,5.7708e-10
2.2625e+03,5.6992e-10
2.2650e+03,5.6273e-10
2.2675e+03,5.5553e-10
2.2700e+03,5.4834e-10
2.2725e+03,5.4118e-10
2.2750e+03,5.3399e-10
2.2775e+03,5.2680e-10
2.2800e+03,5.1964e-10
2.2825e+03,5.2519e-10
2.2850e+03,5.3078e-10
2.2875e+03,5.3636e-10
2.2900e+03,5.4191e-10
2.2925e+03,5.4750e-10
2.2950e+03,5.5309e-10
2.2975e+03,5.5864e-10
2.3000e+03,5.6422e-10
2.3025e+03,5.6441e-10
2.3050e+03,5.6459e-10
2.3075e+03,5.6473e-10
2.3100e+03,5.6492e-10
2.3125e+03,5.6510e-10
2.3150e+03,5.6528e-10
2.3175e+03,5.6546e-10
2.3200e+03,5.6561e-10
2.3225e+03,5.5495e-10
2.3250e+03,5.4429e-10
2.3275e+03,5.3362e-10
2.3300e+03,5.2292e-10
2.3325e+03,5.1226e-10
2.3350e+03,5.0160e-10
2.3375e+03,4.9094e-10
2.3400e+03,4.8028e-10
2.3425e+03,4.7166e-10
2.3450e+03,4.6308e-10
2.3475e+03,4.5446e-10
2.3500e+03,4.4588e-10
2.3525e+03,4.3726e-10
2.3550e+03,4.2868e-10
2.3575e+03,4.2006e-10
2.3600e+03,4.1148e-10
2.3625e+03,4.1006e-10
2.3650e+03,4.0860e-10
2.3675e+03,4.0717e-10
2.3700e+03,4.0575e-10
2.3725e+03,4.0433e-10
2.3750e+03,4.0286e-10
2.3775e+03,4.0144e-10
2.3800e+03,4.0002e-10
2.3825e+03,3.9699e-10
2.3850e+03,3.9396e-10
