# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,2.6765e-20
9.4000e+02,8.0945e-20
9.6200e+02,1.6231e-19
9.8700e+02,3.4459e-19
1.0120e+03,6.7321e-19
1.0370e+03,1.2232e-18
1.0620e+03,2.2737e-18
1.0870e+03,4.0454e-18
1.1120e+03,1.5403e-16
1.1200e+03,1.8751e-16
1.1400e+03,2.6640e-16
1.1600e+03,4.1738e-16
1.1800e+03,5.9074e-16
1.2000e+03,8.1069e-16
1.2200e+03,1.1966e-15
1.2400e+03,1.9567e-15
1.2600e+03,2.9349e-15
1.2800e+03,3.9798e-15
1.3000e+03,5.4289e-15
1.3200e+03,7.1180e-15
1.3400e+03,9.0735e-15
1.3600e+03,1.1641e-14
1.3800e+03,1.5112e-14
1.4000e+03,1.9694e-14
1.4200e+03,2.5303e-14
1.4400e+03,3.2460e-14
1.4600e+03,4.1851e-14
1.4800e+03,5.2732e-14
1.5000e+03,6.7704e-14
1.5200e+03,3.9068e-13
1.5400e+03,6.7836e-13
1.5600e+03,6.9692e-13
1.5800e+03,8.9812e-13
1.6000e+03,1.1520e-12
1.6200e+03,1.3876e-12
1.6400e+03,1.5832e-12
1.6600e+03,1.7071e-12
1.6800e+03,2.9489e-11
1.7000e+03,4.4499e-11
1.7200e+03,5.6080e-11
1.7400e+03,7.5959e-11
1.7600e+03,7.2001e-11
1.7800e+03,9.9901e-11
1.8000e+03,8.8105e-11
1.8200e+03,6.3145e-11
1.8400e+03,6.8540e-11
1.8600e+03,9.5265e-11
1.8800e+03,1.0837e-10
1.9000e+03,1.2444e-10
1.9200e+03,1.4721e-10
1.9400e+03,1.2021e-10
1.9600e+03,1.2091e-10
1.9800e+03,1.8455e-10
2.0000e+03,1.8814e-10
2.0025e+03,1.8493e-10
2.0050e+03,1.8172e-10
2.0075e+03,1.7851e-10
2.0100e+03,1.7530e-10
2.0125e+03,1.7209e-10
2.0150e+03,1.6888e-10
2.0175e+03,1.6567e-10
2.0200e+03,1.6246e-10
2.0225e+03,1.6480e-10
2.0250e+03,1.6714e-10
2.0275e+03,1.6948e-10
2.0300e+03,1.7183e-10
2.0325e+03,1.7417e-10
2.0350e+03,1.7651e-10
2.0375e+03,1.7885e-10
2.0400e+03,1.8119e-10
2.0425e+03,1.8021e-10
2.0450e+03,1.7923e-10
2.0475e+03,1.7825e-10
2.0500e+03,1.7727e-10
2.0525e+03,1.7629e-10
2.0550e+03,1.7530e-10
2.0575e+03,1.7432e-10
2.0600e+03,1.7334e-10
2.0625e+03,1.7746e-10
2.0650e+03,1.8157e-10
2.0675e+03,1.8568e-10
2.0700e+03,1.8979e-10
2.0725e+03,1.9390e-10
2.0750e+03,1.9802e-10
2.0775e+03,2.0213e-10
2.0800e+03,2.0624e-10
2.0825e+03,2.0671e-10
2.0850e+03,2.0719e-10
2.0875e+03,2.0767e-10
2.0900e+03,2.0814e-10
2.0925e+03,2.0861e-10
2.0950e+03,2.0909e-10
2.0975e+03,2.0956e-10
2.1000e+03,2.1004e-10
2.1025e+03,2.1144e-10
2.1050e+03,2.1285e-10
2.1075e+03,2.1426e-10
2.1100e+03,2.1567e-10
2.1125e+03,2.1708e-10
2.1150e+03,2.1848e-10
2.1175e+03,2.1989e-10
2.1200e+03,2.2130e-10
2.1225e+03,2.2258e-10
2.1250e+03,2.2386e-10
2.1275e+03,2.2514e-10
2.1300e+03,2.2642e-10
2.1325e+03,2.2770e-10
2.1350e+03,2.2898e-10
2.1375e+03,2.3026e-10
2.1400e+03,2.3155e-10
2.1425e+03,2.3185e-10
2.1450e+03,2.3215e-10
2.1475e+03,2.3245e-10
2.1500e+03,2.3275e-10
2.1525e+03,2.3305e-10
2.1550e+03,2.3335e-10
2.1575e+03,2.3365e-10
2.1600e+03,2.3395e-10
2.1625e+03,2.3634e-10
2.1650e+03,2.3873e-10
2.1675e+03,2.4112e-10
2.1700e+03,2.4350e-10
2.1725e+03,2.4589e-10
2.1750e+03,2.4828e-10
2.1775e+03,2.5067e-10
2.1800e+03,2.5305e-10
2.1825e+03,2.5827e-10
2.1850e+03,2.6349e-10
2.1875e+03,2.6871e-10
2.1900e+03,2.7393e-10
2.1925e+03,2.7915e-10
2.1950e+03,2.8437e-10
2.1975e+03,2.8959e-10
2.2000e+03,2.9481e-10
2.2025e+03,2.9386e-10
2.2050e+03,2.9291e-10
2.2075e+03,2.9196e-10
2.2100e+03,2.9101e-10
2.2125e+03,2.9007e-10
2.2150e+03,2.8912e-10
2.2175e+03,2.8817e-10
2.2200e+03,2.8722e-10
2.2225e+03,2.8736e-10
2.2250e+03,2.8750e-10
2.2275e+03,2.8765e-10
2.2300e+03,2.8779e-10
2.2325e+03,2.8793e-10
2.2350e+03,2.8807e-10
2.2375e+03,2.8822e-10
2.2400e+03,2.8836e-10
2.2425e+03,2.9010e-10
2.2450e+03,2.9184e-10
2.2475e+03,2.9358e-10
2.2500e+03,2.9531e-10
2.2525e+03,2.9705e-10
2.2550e+03,2.9879e-10
2.2575e+03,3.0054e-10
2.2600e+03,3.0228e-10
2.2625e+03,2.9707e-10
2.2650e+03,2.9187e-10
2.2675e+03,2.8667e-10
2.2700e+03,2.8146e-10
2.2725e+03,2.7626e-10
2.2750e+03,2.7105e-10
2.2775e+03,2.6585e-10
2.2800e+03,2.6065e-10
2.2825e+03,2.6474e-10
2.2850e+03,2.6884e-10
2.2875e+03,2.7294e-10
2.2900e+03,2.7703e-10
2.2925e+03,2.8113e-10
2.2950e+03,2.8523e-10
2.2975e+03,2.8932e-10
2.3000e+03,2.9342e-10
2.3025e+03,2.9248e-10
2.3050e+03,2.9155e-10
2.3075e+03,2.9062e-10
2.3100e+03,2.8969e-10
2.3125e+03,2.8875e-10
2.3150e+03,2.8782e-10
2.3175e+03,2.8688e-10
2.3200e+03,2.8595e-10
2.3225e+03,2.8137e-10
2.3250e+03,2.7678e-10
2.3275e+03,2.7219e-10
2.3300e+03,2.6761e-10
2.3325e+03,2.6302e-10
2.3350e+03,2.5843e-10
2.3375e+03,2.5385e-10
2.3400e+03,2.4926e-10
2.3425e+03,2.4418e-10
2.3450e+03,2.3911e-10
2.3475e+03,2.3403e-10
2.3500e+03,2.2895e-10
2.3525e+03,2.2387e-10
2.3550e+03,2.1880e-10
2.3575e+03,2.1372e-10
2.3600e+03,2.0864e-10
2.3625e+03,2.0738e-10
2.3650e+03,2.0612e-10
2.3675e+03,2.0485e-10
2.3700e+03,2.0358e-10
2.3725e+03,2.0232e-10
2.3750e+03,2.0105e-10
2.3775e+03,1.9979e-10
2.3800e+03,1.9852e-10
2.3825e+03,1.9204e-10
2.3850e+03,1.8555e-10
