# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,2.7728e-21
9.4000e+02,9.3708e-21
9.6200e+02,1.9943e-20
9.8700e+02,4.4742e-20
1.0120e+03,9.1068e-20
1.0370e+03,1.7138e-19
1.0620e+03,3.3176e-19
1.0870e+03,6.1737e-19
1.1120e+03,1.0108e-17
1.1200e+03,1.2437e-17
1.1400e+03,1.7995e-17
1.1600e+03,2.8441e-17
1.1800e+03,4.1060e-17
1.2000e+03,5.7726e-17
1.2200e+03,8.5337e-17
1.2400e+03,1.3011e-16
1.2600e+03,1.8690e-16
1.2800e+03,2.5595e-16
1.3000e+03,3.5409e-16
1.3200e+03,4.7012e-16
1.3400e+03,6.0641e-16
1.3600e+03,7.8795e-16
1.3800e+03,1.0401e-15
1.4000e+03,1.3710e-15
1.4200e+03,1.7849e-15
1.4400e+03,2.3208e-15
1.4600e+03,3.0241e-15
1.4800e+03,3.8644e-15
1.5000e+03,5.0106e-15
1.5200e+03,4.0763e-14
1.5400e+03,7.3277e-14
1.5600e+03,7.6243e-14
1.5800e+03,9.7547e-14
1.6000e+03,1.2637e-13
1.6200e+03,1.5521e-13
1.6400e+03,1.8069e-13
1.6600e+03,1.9771e-13
1.6800e+03,2.5421e-12
1.7000e+03,3.8758e-12
1.7200e+03,4.8387e-12
1.7400e+03,6.3776e-12
1.7600e+03,6.2841e-12
1.7800e+03,8.7060e-12
1.8000e+03,8.2495e-12
1.8200e+03,6.7003e-12
1.8400e+03,6.9760e-12
1.8600e+03,8.9751e-12
1.8800e+03,1.0349e-11
1.9000e+03,1.2078e-11
1.9200e+03,1.4441e-11
1.9400e+03,1.2812e-11
1.9600e+03,1.2935e-11
1.9800e+03,1.8273e-11
2.0000e+03,1.9189e-11
2.0025e+03,2.0262e-11
2.0050e+03,2.5148e-11
2.0075e+03,2.6860e-11
2.0100e+03,2.7754e-11
2.0125e+03,2.7975e-11
2.0150e+03,2.8086e-11
2.0175e+03,2.7623e-11
2.0200e+03,2.7460e-11
2.0225e+03,2.7533e-11
2.0250e+03,2.7525e-11
2.0275e+03,2.7512e-11
2.0300e+03,2.8678e-11
2.0325e+03,3.0478e-11
2.0350e+03,3.3496e-11
2.0375e+03,3.5459e-11
2.0400e+03,3.6719e-11
2.0425e+03,3.7573e-11
2.0450e+03,3.8050e-11
2.0475e+03,3.8787e-11
2.0500e+03,3.9355e-11
2.0525e+03,3.9517e-11
2.0550e+03,3.9531e-11
2.0575e+03,3.9091e-11
2.0600e+03,3.9700e-11
2.0625e+03,4.0947e-11
2.0650e+03,4.3304e-11
2.0675e+03,4.5659e-11
2.0700e+03,4.6685e-11
2.0725e+03,4.8009e-11
2.0750e+03,4.9963e-11
2.0775e+03,5.2523e-11
2.0800e+03,5.5368e-11
2.0825e+03,5.9006e-11
2.0850e+03,6.3178e-11
2.0875e+03,6.2896e-11
2.0900e+03,6.3296e-11
2.0925e+03,6.4715e-11
2.0950e+03,6.5763e-11
2.0975e+03,6.6016e-11
2.1000e+03,6.6269e-11
2.1025e+03,6.5254e-11
2.1050e+03,7.1898e-11
2.1075e+03,6.9496e-11
2.1100e+03,6.7905e-11
2.1125e+03,7.3214e-11
2.1150e+03,8.0980e-11
2.1175e+03,9.2186e-11
2.1200e+03,9.0415e-11
2.1225e+03,7.1722e-11
2.1250e+03,6.5353e-11
2.1275e+03,7.5048e-11
2.1300e+03,7.7578e-11
2.1325e+03,7.5279e-11
2.1350e+03,7.6764e-11
2.1375e+03,8.0621e-11
2.1400e+03,8.9872e-11
2.1425e+03,1.0390e-10
2.1450e+03,1.0516e-10
2.1475e+03,9.6311e-11
2.1500e+03,9.4393e-11
2.1525e+03,9.7213e-11
2.1550e+03,9.2861e-11
2.1575e+03,8.0504e-11
2.1600e+03,8.2473e-11
2.1625e+03,9.1101e-11
2.1650e+03,8.2363e-11
2.1675e+03,7.3805e-11
2.1700e+03,7.9550e-11
2.1725e+03,8.3382e-11
2.1750e+03,8.0573e-11
2.1775e+03,9.1082e-11
2.1800e+03,1.1387e-10
2.1825e+03,1.2020e-10
2.1850e+03,1.0649e-10
2.1875e+03,9.5695e-11
2.1900e+03,1.0228e-10
2.1925e+03,1.1504e-10
2.1950e+03,1.1692e-10
2.1975e+03,1.1515e-10
2.2000e+03,1.1865e-10
2.2025e+03,1.2802e-10
2.2050e+03,1.2354e-10
2.2075e+03,9.8035e-11
2.2100e+03,8.3687e-11
2.2125e+03,9.0690e-11
2.2150e+03,9.3242e-11
2.2175e+03,9.4914e-11
2.2200e+03,1.1229e-10
2.2225e+03,1.2269e-10
2.2250e+03,1.1823e-10
2.2275e+03,1.1710e-10
2.2300e+03,1.2860e-10
2.2325e+03,1.5459e-10
2.2350e+03,1.6831e-10
2.2375e+03,1.5535e-10
2.2400e+03,1.4047e-10
2.2425e+03,1.2977e-10
2.2450e+03,1.3333e-10
2.2475e+03,1.4297e-10
2.2500e+03,1.3613e-10
2.2525e+03,1.2613e-10
2.2550e+03,1.2116e-10
2.2575e+03,1.1808e-10
2.2600e+03,1.1389e-10
2.2625e+03,1.0462e-10
2.2650e+03,9.0859e-11
2.2675e+03,8.0152e-11
2.2700e+03,7.7724e-11
2.2725e+03,8.2781e-11
2.2750e+03,9.0976e-11
2.2775e+03,1.0150e-10
2.2800e+03,1.1802e-10
2.2825e+03,1.2972e-10
2.2850e+03,1.2565e-10
2.2875e+03,1.1458e-10
2.2900e+03,1.0959e-10
2.2925e+03,1.1396e-10
2.2950e+03,1.1498e-10
2.2975e+03,1.0210e-10
2.3000e+03,9.6253e-11
2.3025e+03,1.0991e-10
2.3050e+03,1.3361e-10
2.3075e+03,1.3792e-10
2.3100e+03,1.1085e-10
2.3125e+03,9.9637e-11
2.3150e+03,1.1662e-10
2.3175e+03,1.2049e-10
2.3200e+03,1.1522e-10
2.3225e+03,1.2623e-10
2.3250e+03,1.2551e-10
2.3275e+03,1.1498e-10
2.3300e+03,1.0921e-10
2.3325e+03,1.0408e-10
2.3350e+03,1.0524e-10
2.3375e+03,9.8053e-11
2.3400e+03,9.2916e-11
2.3425e+03,8.6499e-11
2.3450e+03,7.7468e-11
2.3475e+03,8.6778e-11
2.3500e+03,1.1034e-10
2.3525e+03,1.2626e-10
2.3550e+03,1.2881e-10
2.3575e+03,1.2039e-10
2.3600e+03,1.0735e-10
2.3625e+03,1.0578e-10
2.3650e+03,1.0419e-10
2.3675e+03,1.0715e-10
2.3700e+03,1.2154e-10
2.3725e+03,1.1949e-10
2.3750e+03,1.1299e-10
2.3775e+03,1.1035e-10
2.3800e+03,9.0646e-11
2.3825e+03,7.9961e-11
2.3850e+03,9.2160e-11
