# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,9.5629e-13
2.0025e+03,6.7793e-12
2.0050e+03,7.3905e-12
2.0075e+03,5.8288e-12
2.0100e+03,4.7838e-12
2.0125e+03,4.2989e-12
2.0150e+03,3.9990e-12
2.0175e+03,3.5826e-12
2.0200e+03,2.8002e-12
2.0225e+03,2.6163e-12
2.0250e+03,3.1003e-12
2.0275e+03,2.7829e-12
2.0300e+03,2.5275e-12
2.0325e+03,3.7074e-12
2.0350e+03,4.8823e-12
2.0375e+03,4.6152e-12
2.0400e+03,4.2756e-12
2.0425e+03,3.8530e-12
2.0450e+03,4.1256e-12
2.0475e+03,4.5251e-12
2.0500e+03,4.0081e-12
2.0525e+03,3.3374e-12
2.0550e+03,2.7067e-12
2.0575e+03,2.7808e-12
2.0600e+03,3.6538e-12
2.0625e+03,5.0275e-12
2.0650e+03,6.7472e-12
2.0675e+03,6.5377e-12
2.0700e+03,6.4111e-12
2.0725e+03,7.0281e-12
2.0750e+03,7.8819e-12
2.0775e+03,9.2699e-12
2.0800e+03,9.6472e-12
2.0825e+03,9.3407e-12
2.0850e+03,9.3268e-12
2.0875e+03,9.4239e-12
2.0900e+03,9.4855e-12
2.0925e+03,9.3549e-12
2.0950e+03,8.9131e-12
2.0975e+03,8.3672e-12
2.1000e+03,7.7852e-12
2.1025e+03,7.1204e-12
2.1050e+03,6.4341e-12
2.1075e+03,6.1711e-12
2.1100e+03,5.9262e-12
2.1125e+03,7.0362e-12
2.1150e+03,8.2796e-12
2.1175e+03,9.6661e-12
2.1200e+03,1.0276e-11
2.1225e+03,1.0580e-11
2.1250e+03,1.1068e-11
2.1275e+03,1.1733e-11
2.1300e+03,1.1716e-11
2.1325e+03,1.1779e-11
2.1350e+03,1.2107e-11
2.1375e+03,1.2030e-11
2.1400e+03,1.1096e-11
2.1425e+03,1.0605e-11
2.1450e+03,1.0406e-11
2.1475e+03,1.0880e-11
2.1500e+03,1.1304e-11
2.1525e+03,1.1567e-11
2.1550e+03,1.1314e-11
2.1575e+03,1.0336e-11
2.1600e+03,1.1069e-11
2.1625e+03,1.2101e-11
2.1650e+03,1.2070e-11
2.1675e+03,1.1846e-11
2.1700e+03,1.2513e-11
2.1725e+03,1.3042e-11
2.1750e+03,1.3393e-11
2.1775e+03,1.3987e-11
2.1800e+03,1.4853e-11
2.1825e+03,1.4934e-11
2.1850e+03,1.5070e-11
2.1875e+03,1.6087e-11
2.1900e+03,1.6976e-11
2.1925e+03,1.7086e-11
2.1950e+03,1.7085e-11
2.1975e+03,1.7050e-11
2.2000e+03,1.6382e-11
2.2025e+03,1.5578e-11
2.2050e+03,1.4843e-11
2.2075e+03,1.4064e-11
2.2100e+03,1.3092e-11
2.2125e+03,1.2931e-11
2.2150e+03,1.3718e-11
2.2175e+03,1.4220e-11
2.2200e+03,1.4468e-11
2.2225e+03,1.5084e-11
2.2250e+03,1.5725e-11
2.2275e+03,1.6448e-11
2.2300e+03,1.7250e-11
2.2325e+03,1.7824e-11
2.2350e+03,1.7846e-11
2.2375e+03,1.7585e-11
2.2400e+03,1.7875e-11
2.2425e+03,1.8570e-11
2.2450e+03,1.9689e-11
2.2475e+03,2.0647e-11
2.2500e+03,2.1415e-11
2.2525e+03,2.1909e-11
2.2550e+03,2.2389e-11
2.2575e+03,2.1985e-11
2.2600e+03,2.1129e-11
2.2625e+03,2.0718e-11
2.2650e+03,2.0172e-11
2.2675e+03,1.9766e-11
2.2700e+03,1.9434e-11
2.2725e+03,1.9141e-11
2.2750e+03,1.9346e-11
2.2775e+03,1.9743e-11
2.2800e+03,1.9788e-11
2.2825e+03,1.9877e-11
2.2850e+03,2.0682e-11
2.2875e+03,2.1164e-11
2.2900e+03,2.1142e-11
2.2925e+03,2.1033e-11
2.2950e+03,2.0741e-11
2.2975e+03,2.0072e-11
2.3000e+03,1.9545e-11
2.3025e+03,2.0540e-11
2.3050e+03,2.0869e-11
2.3075e+03,2.0150e-11
2.3100e+03,2.0006e-11
2.3125e+03,2.0582e-11
2.3150e+03,2.1281e-11
2.3175e+03,2.2070e-11
2.3200e+03,2.3252e-11
2.3225e+03,2.4646e-11
2.3250e+03,2.5581e-11
2.3275e+03,2.6487e-11
2.3300e+03,2.7385e-11
2.3325e+03,2.7821e-11
2.3350e+03,2.7834e-11
2.3375e+03,2.7543e-11
2.3400e+03,2.7170e-11
2.3425e+03,2.6576e-11
2.3450e+03,2.5772e-11
2.3475e+03,2.5270e-11
2.3500e+03,2.5342e-11
2.3525e+03,2.5574e-11
2.3550e+03,2.5727e-11
2.3575e+03,2.5506e-11
2.3600e+03,2.5462e-11
2.3625e+03,2.5778e-11
2.3650e+03,2.7143e-11
2.3675e+03,2.7600e-11
2.3700e+03,2.7248e-11
2.3725e+03,2.7312e-11
2.3750e+03,2.7945e-11
2.3775e+03,2.8188e-11
2.3800e+03,2.8165e-11
2.3825e+03,2.7839e-11
2.3850e+03,2.7469e-11
