# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,1.7058e-12
2.0025e+03,1.7058e-12
2.0050e+03,1.7833e-12
2.0075e+03,1.8204e-12
2.0100e+03,1.7294e-12
2.0125e+03,1.7691e-12
2.0150e+03,1.8808e-12
2.0175e+03,1.9581e-12
2.0200e+03,2.0355e-12
2.0225e+03,2.3231e-12
2.0250e+03,2.4695e-12
2.0275e+03,2.3491e-12
2.0300e+03,2.3299e-12
2.0325e+03,2.3584e-12
2.0350e+03,2.3126e-12
2.0375e+03,2.2174e-12
2.0400e+03,1.8875e-12
2.0425e+03,1.6696e-12
2.0450e+03,1.6197e-12
2.0475e+03,1.5800e-12
2.0500e+03,1.5617e-12
2.0525e+03,1.5335e-12
2.0550e+03,1.5293e-12
2.0575e+03,1.7289e-12
2.0600e+03,1.9363e-12
2.0625e+03,2.3337e-12
2.0650e+03,2.6129e-12
2.0675e+03,2.7418e-12
2.0700e+03,2.8007e-12
2.0725e+03,2.8375e-12
2.0750e+03,2.9719e-12
2.0775e+03,3.1373e-12
2.0800e+03,3.1313e-12
2.0825e+03,3.1144e-12
2.0850e+03,3.0858e-12
2.0875e+03,3.0481e-12
2.0900e+03,2.9966e-12
2.0925e+03,3.1989e-12
2.0950e+03,3.4328e-12
2.0975e+03,3.5389e-12
2.1000e+03,3.6130e-12
2.1025e+03,3.4522e-12
2.1050e+03,3.3179e-12
2.1075e+03,3.2173e-12
2.1100e+03,3.2364e-12
2.1125e+03,3.2783e-12
2.1150e+03,3.3886e-12
2.1175e+03,3.5125e-12
2.1200e+03,3.5937e-12
2.1225e+03,3.6735e-12
2.1250e+03,3.7515e-12
2.1275e+03,3.9058e-12
2.1300e+03,4.1425e-12
2.1325e+03,4.3164e-12
2.1350e+03,4.3459e-12
2.1375e+03,4.0261e-12
2.1400e+03,3.7781e-12
2.1425e+03,3.8175e-12
2.1450e+03,3.8241e-12
2.1475e+03,3.8011e-12
2.1500e+03,3.7267e-12
2.1525e+03,3.5865e-12
2.1550e+03,3.5858e-12
2.1575e+03,3.6512e-12
2.1600e+03,3.8420e-12
2.1625e+03,3.9638e-12
2.1650e+03,3.7220e-12
2.1675e+03,3.7139e-12
2.1700e+03,3.8894e-12
2.1725e+03,3.9758e-12
2.1750e+03,4.0589e-12
2.1775e+03,4.0706e-12
2.1800e+03,4.0826e-12
2.1825e+03,4.1195e-12
2.1850e+03,4.1749e-12
2.1875e+03,4.2431e-12
2.1900e+03,4.3613e-12
2.1925e+03,4.5257e-12
2.1950e+03,4.8467e-12
2.1975e+03,5.0564e-12
2.2000e+03,4.9995e-12
2.2025e+03,4.9123e-12
2.2050e+03,4.7281e-12
2.2075e+03,4.5130e-12
2.2100e+03,4.2821e-12
2.2125e+03,4.0859e-12
2.2150e+03,3.8901e-12
2.2175e+03,3.6286e-12
2.2200e+03,3.4864e-12
2.2225e+03,3.6571e-12
2.2250e+03,3.9517e-12
2.2275e+03,4.3040e-12
2.2300e+03,4.7387e-12
2.2325e+03,5.2278e-12
2.2350e+03,5.6876e-12
2.2375e+03,6.1289e-12
2.2400e+03,6.5413e-12
2.2425e+03,6.9837e-12
2.2450e+03,7.4888e-12
2.2475e+03,7.8528e-12
2.2500e+03,8.1416e-12
2.2525e+03,8.2824e-12
2.2550e+03,8.4209e-12
2.2575e+03,8.5128e-12
2.2600e+03,8.5256e-12
2.2625e+03,8.3983e-12
2.2650e+03,8.1879e-12
2.2675e+03,7.9516e-12
2.2700e+03,7.7000e-12
2.2725e+03,7.4651e-12
2.2750e+03,7.5059e-12
2.2775e+03,7.4793e-12
2.2800e+03,7.3790e-12
2.2825e+03,7.2919e-12
2.2850e+03,7.2237e-12
2.2875e+03,7.1168e-12
2.2900e+03,6.9950e-12
2.2925e+03,6.8539e-12
2.2950e+03,6.7018e-12
2.2975e+03,6.4688e-12
2.3000e+03,6.3678e-12
2.3025e+03,6.4349e-12
2.3050e+03,6.4035e-12
2.3075e+03,6.3539e-12
2.3100e+03,6.5450e-12
2.3125e+03,6.8670e-12
2.3150e+03,7.4735e-12
2.3175e+03,8.0143e-12
2.3200e+03,8.5037e-12
2.3225e+03,9.1397e-12
2.3250e+03,9.9351e-12
2.3275e+03,1.0857e-11
2.3300e+03,1.1582e-11
2.3325e+03,1.1756e-11
2.3350e+03,1.1927e-11
2.3375e+03,1.2093e-11
2.3400e+03,1.2194e-11
2.3425e+03,1.2234e-11
2.3450e+03,1.1963e-11
2.3475e+03,1.1664e-11
2.3500e+03,1.1575e-11
2.3525e+03,1.1630e-11
2.3550e+03,1.2017e-11
2.3575e+03,1.2178e-11
2.3600e+03,1.2210e-11
2.3625e+03,1.2314e-11
2.3650e+03,1.2475e-11
2.3675e+03,1.2602e-11
2.3700e+03,1.2727e-11
2.3725e+03,1.2747e-11
2.3750e+03,1.2763e-11
2.3775e+03,1.2822e-11
2.3800e+03,1.2826e-11
2.3825e+03,1.2793e-11
2.3850e+03,1.2728e-11
