# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,8.5618e-13
2.0025e+03,8.5618e-13
2.0050e+03,8.9508e-13
2.0075e+03,9.1373e-13
2.0100e+03,8.6803e-13
2.0125e+03,8.8792e-13
2.0150e+03,9.4398e-13
2.0175e+03,9.8284e-13
2.0200e+03,1.0217e-12
2.0225e+03,1.1660e-12
2.0250e+03,1.2395e-12
2.0275e+03,1.1790e-12
2.0300e+03,1.1694e-12
2.0325e+03,1.1837e-12
2.0350e+03,1.1607e-12
2.0375e+03,1.1129e-12
2.0400e+03,9.4736e-13
2.0425e+03,8.3801e-13
2.0450e+03,8.1299e-13
2.0475e+03,7.9304e-13
2.0500e+03,7.8384e-13
2.0525e+03,7.6970e-13
2.0550e+03,7.6759e-13
2.0575e+03,8.6774e-13
2.0600e+03,9.7186e-13
2.0625e+03,1.1713e-12
2.0650e+03,1.3115e-12
2.0675e+03,1.3762e-12
2.0700e+03,1.4057e-12
2.0725e+03,1.4242e-12
2.0750e+03,1.4917e-12
2.0775e+03,1.5747e-12
2.0800e+03,1.5716e-12
2.0825e+03,1.5632e-12
2.0850e+03,1.5488e-12
2.0875e+03,1.5299e-12
2.0900e+03,1.5040e-12
2.0925e+03,1.6056e-12
2.0950e+03,1.7230e-12
2.0975e+03,1.7763e-12
2.1000e+03,1.8134e-12
2.1025e+03,1.7327e-12
2.1050e+03,1.6653e-12
2.1075e+03,1.6148e-12
2.1100e+03,1.6244e-12
2.1125e+03,1.6454e-12
2.1150e+03,1.7008e-12
2.1175e+03,1.7630e-12
2.1200e+03,1.8038e-12
2.1225e+03,1.8437e-12
2.1250e+03,1.8830e-12
2.1275e+03,1.9604e-12
2.1300e+03,2.0792e-12
2.1325e+03,2.1665e-12
2.1350e+03,2.1814e-12
2.1375e+03,2.0208e-12
2.1400e+03,1.8963e-12
2.1425e+03,1.9160e-12
2.1450e+03,1.9194e-12
2.1475e+03,1.9079e-12
2.1500e+03,1.8705e-12
2.1525e+03,1.8002e-12
2.1550e+03,1.7998e-12
2.1575e+03,1.8326e-12
2.1600e+03,1.9283e-12
2.1625e+03,1.9894e-12
2.1650e+03,1.8681e-12
2.1675e+03,1.8641e-12
2.1700e+03,1.9521e-12
2.1725e+03,1.9956e-12
2.1750e+03,2.0372e-12
2.1775e+03,2.0432e-12
2.1800e+03,2.0491e-12
2.1825e+03,2.0677e-12
2.1850e+03,2.0955e-12
2.1875e+03,2.1296e-12
2.1900e+03,2.1889e-12
2.1925e+03,2.2716e-12
2.1950e+03,2.4327e-12
2.1975e+03,2.5378e-12
2.2000e+03,2.5094e-12
2.2025e+03,2.4656e-12
2.2050e+03,2.3730e-12
2.2075e+03,2.2651e-12
2.2100e+03,2.1492e-12
2.2125e+03,2.0508e-12
2.2150e+03,1.9524e-12
2.2175e+03,1.8213e-12
2.2200e+03,1.7499e-12
2.2225e+03,1.8356e-12
2.2250e+03,1.9834e-12
2.2275e+03,2.1603e-12
2.2300e+03,2.3784e-12
2.2325e+03,2.6240e-12
2.2350e+03,2.8548e-12
2.2375e+03,3.0761e-12
2.2400e+03,3.2833e-12
2.2425e+03,3.5053e-12
2.2450e+03,3.7587e-12
2.2475e+03,3.9415e-12
2.2500e+03,4.0862e-12
2.2525e+03,4.1571e-12
2.2550e+03,4.2266e-12
2.2575e+03,4.2727e-12
2.2600e+03,4.2793e-12
2.2625e+03,4.2153e-12
2.2650e+03,4.1099e-12
2.2675e+03,3.9910e-12
2.2700e+03,3.8648e-12
2.2725e+03,3.7467e-12
2.2750e+03,3.7674e-12
2.2775e+03,3.7540e-12
2.2800e+03,3.7038e-12
2.2825e+03,3.6598e-12
2.2850e+03,3.6257e-12
2.2875e+03,3.5720e-12
2.2900e+03,3.5109e-12
2.2925e+03,3.4401e-12
2.2950e+03,3.3638e-12
2.2975e+03,3.2469e-12
2.3000e+03,3.1961e-12
2.3025e+03,3.2297e-12
2.3050e+03,3.2141e-12
2.3075e+03,3.1891e-12
2.3100e+03,3.2851e-12
2.3125e+03,3.4466e-12
2.3150e+03,3.7511e-12
2.3175e+03,4.0226e-12
2.3200e+03,4.2680e-12
2.3225e+03,4.5876e-12
2.3250e+03,4.9867e-12
2.3275e+03,5.4495e-12
2.3300e+03,5.8134e-12
2.3325e+03,5.9003e-12
2.3350e+03,5.9865e-12
2.3375e+03,6.0697e-12
2.3400e+03,6.1203e-12
2.3425e+03,6.1406e-12
2.3450e+03,6.0047e-12
2.3475e+03,5.8545e-12
2.3500e+03,5.8098e-12
2.3525e+03,5.8374e-12
2.3550e+03,6.0319e-12
2.3575e+03,6.1123e-12
2.3600e+03,6.1286e-12
2.3625e+03,6.1810e-12
2.3650e+03,6.2617e-12
2.3675e+03,6.3253e-12
2.3700e+03,6.3882e-12
2.3725e+03,6.3980e-12
2.3750e+03,6.4060e-12
2.3775e+03,6.4355e-12
2.3800e+03,6.4376e-12
2.3825e+03,6.4213e-12
2.3850e+03,6.3882e-12
