# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,5.5271e-13
2.0025e+03,6.6556e-13
2.0050e+03,5.5121e-13
2.0075e+03,9.8276e-13
2.0100e+03,1.1292e-12
2.0125e+03,1.0517e-12
2.0150e+03,9.9578e-13
2.0175e+03,9.6321e-13
2.0200e+03,5.0672e-13
2.0225e+03,1.9340e-13
2.0250e+03,3.9701e-13
2.0275e+03,5.5672e-13
2.0300e+03,5.4067e-13
2.0325e+03,7.3504e-13
2.0350e+03,1.0697e-12
2.0375e+03,9.2313e-13
2.0400e+03,7.7654e-13
2.0425e+03,7.6567e-13
2.0450e+03,8.4041e-13
2.0475e+03,1.0720e-12
2.0500e+03,1.1917e-12
2.0525e+03,1.2677e-12
2.0550e+03,1.1247e-12
2.0575e+03,8.5839e-13
2.0600e+03,9.6901e-13
2.0625e+03,1.2157e-12
2.0650e+03,1.6765e-12
2.0675e+03,1.9094e-12
2.0700e+03,1.5567e-12
2.0725e+03,1.4198e-12
2.0750e+03,1.4171e-12
2.0775e+03,1.7870e-12
2.0800e+03,2.1568e-12
2.0825e+03,2.2856e-12
2.0850e+03,2.2678e-12
2.0875e+03,2.0304e-12
2.0900e+03,1.8977e-12
2.0925e+03,1.7912e-12
2.0950e+03,1.7158e-12
2.0975e+03,1.6300e-12
2.1000e+03,1.3790e-12
2.1025e+03,1.1575e-12
2.1050e+03,9.7350e-13
2.1075e+03,6.9317e-13
2.1100e+03,2.4150e-13
2.1125e+03,4.4307e-13
2.1150e+03,8.0609e-13
2.1175e+03,9.3363e-13
2.1200e+03,1.0788e-12
2.1225e+03,1.4259e-12
2.1250e+03,1.7243e-12
2.1275e+03,1.9697e-12
2.1300e+03,2.1128e-12
2.1325e+03,2.2419e-12
2.1350e+03,2.3287e-12
2.1375e+03,2.3147e-12
2.1400e+03,1.9397e-12
2.1425e+03,1.3957e-12
2.1450e+03,7.3905e-13
2.1475e+03,4.4329e-13
2.1500e+03,4.8060e-13
2.1525e+03,5.7970e-13
2.1550e+03,5.9597e-13
2.1575e+03,3.1263e-13
2.1600e+03,1.4861e-13
2.1625e+03,6.1110e-13
2.1650e+03,8.1604e-13
2.1675e+03,8.1852e-13
2.1700e+03,7.4645e-13
2.1725e+03,6.7128e-13
2.1750e+03,5.5103e-13
2.1775e+03,4.6076e-13
2.1800e+03,4.6335e-13
2.1825e+03,3.8311e-13
2.1850e+03,2.8895e-13
2.1875e+03,1.9480e-13
2.1900e+03,1.0065e-13
2.1925e+03,2.9094e-13
2.1950e+03,4.8122e-13
2.1975e+03,7.3996e-13
2.2000e+03,9.3757e-13
2.2025e+03,9.2273e-13
2.2050e+03,9.3352e-13
2.2075e+03,9.5872e-13
2.2100e+03,8.0127e-13
2.2125e+03,5.0030e-13
2.2150e+03,5.2488e-13
2.2175e+03,4.6258e-13
2.2200e+03,2.2168e-13
2.2225e+03,2.4463e-14
2.2250e+03,3.6692e-14
2.2275e+03,4.8917e-14
2.2300e+03,6.1147e-14
2.2325e+03,7.3372e-14
2.2350e+03,8.5602e-14
2.2375e+03,9.4125e-14
2.2400e+03,2.9498e-13
2.2425e+03,7.8435e-13
2.2450e+03,1.0232e-12
2.2475e+03,1.1648e-12
2.2500e+03,1.3479e-12
2.2525e+03,1.5618e-12
2.2550e+03,1.9533e-12
2.2575e+03,2.0874e-12
2.2600e+03,1.8940e-12
2.2625e+03,1.7352e-12
2.2650e+03,1.6378e-12
2.2675e+03,1.6925e-12
2.2700e+03,1.8000e-12
2.2725e+03,1.9321e-12
2.2750e+03,2.0433e-12
2.2775e+03,1.9148e-12
2.2800e+03,1.7241e-12
2.2825e+03,1.4659e-12
2.2850e+03,1.1453e-12
2.2875e+03,8.1622e-13
2.2900e+03,6.9415e-13
2.2925e+03,6.1110e-13
2.2950e+03,4.3476e-13
2.2975e+03,3.5452e-13
2.3000e+03,3.6293e-13
2.3025e+03,4.1816e-13
2.3050e+03,5.3301e-13
2.3075e+03,5.3137e-13
2.3100e+03,5.3757e-13
2.3125e+03,6.3893e-13
2.3150e+03,7.6458e-13
2.3175e+03,1.0176e-12
2.3200e+03,1.4591e-12
2.3225e+03,2.0486e-12
2.3250e+03,2.3755e-12
2.3275e+03,2.6914e-12
2.3300e+03,2.9427e-12
2.3325e+03,3.0568e-12
2.3350e+03,2.8410e-12
2.3375e+03,2.6498e-12
2.3400e+03,2.4751e-12
2.3425e+03,2.0728e-12
2.3450e+03,1.4606e-12
2.3475e+03,1.1056e-12
2.3500e+03,8.9716e-13
2.3525e+03,9.5249e-13
2.3550e+03,1.1206e-12
2.3575e+03,1.6458e-12
2.3600e+03,1.8480e-12
2.3625e+03,1.8820e-12
2.3650e+03,2.2418e-12
2.3675e+03,2.6016e-12
2.3700e+03,2.5121e-12
2.3725e+03,2.6140e-12
2.3750e+03,3.0894e-12
2.3775e+03,3.0054e-12
2.3800e+03,2.7447e-12
2.3825e+03,2.5737e-12
2.3850e+03,2.4624e-12
