# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,3.4744e-13
2.0025e+03,4.1837e-13
2.0050e+03,3.4649e-13
2.0075e+03,6.1778e-13
2.0100e+03,7.0986e-13
2.0125e+03,6.6113e-13
2.0150e+03,6.2596e-13
2.0175e+03,6.0549e-13
2.0200e+03,3.1853e-13
2.0225e+03,1.2157e-13
2.0250e+03,2.4957e-13
2.0275e+03,3.4996e-13
2.0300e+03,3.3989e-13
2.0325e+03,4.6205e-13
2.0350e+03,6.7240e-13
2.0375e+03,5.8028e-13
2.0400e+03,4.8816e-13
2.0425e+03,4.8129e-13
2.0450e+03,5.2828e-13
2.0475e+03,6.7393e-13
2.0500e+03,7.4910e-13
2.0525e+03,7.9689e-13
2.0550e+03,7.0699e-13
2.0575e+03,5.3959e-13
2.0600e+03,6.0912e-13
2.0625e+03,7.6423e-13
2.0650e+03,1.0539e-12
2.0675e+03,1.2003e-12
2.0700e+03,9.7855e-13
2.0725e+03,8.9254e-13
2.0750e+03,8.9083e-13
2.0775e+03,1.1233e-12
2.0800e+03,1.3558e-12
2.0825e+03,1.4367e-12
2.0850e+03,1.4256e-12
2.0875e+03,1.2763e-12
2.0900e+03,1.1929e-12
2.0925e+03,1.1260e-12
2.0950e+03,1.0786e-12
2.0975e+03,1.0247e-12
2.1000e+03,8.6686e-13
2.1025e+03,7.2761e-13
2.1050e+03,6.1196e-13
2.1075e+03,4.3572e-13
2.1100e+03,1.5181e-13
2.1125e+03,2.7851e-13
2.1150e+03,5.0671e-13
2.1175e+03,5.8690e-13
2.1200e+03,6.7811e-13
2.1225e+03,8.9636e-13
2.1250e+03,1.0839e-12
2.1275e+03,1.2382e-12
2.1300e+03,1.3281e-12
2.1325e+03,1.4093e-12
2.1350e+03,1.4638e-12
2.1375e+03,1.4550e-12
2.1400e+03,1.2193e-12
2.1425e+03,8.7737e-13
2.1450e+03,4.6460e-13
2.1475e+03,2.7865e-13
2.1500e+03,3.0211e-13
2.1525e+03,3.6440e-13
2.1550e+03,3.7462e-13
2.1575e+03,1.9653e-13
2.1600e+03,9.3418e-14
2.1625e+03,3.8415e-13
2.1650e+03,5.1297e-13
2.1675e+03,5.1453e-13
2.1700e+03,4.6925e-13
2.1725e+03,4.2197e-13
2.1750e+03,3.4638e-13
2.1775e+03,2.8963e-13
2.1800e+03,2.9126e-13
2.1825e+03,2.4082e-13
2.1850e+03,1.8164e-13
2.1875e+03,1.2246e-13
2.1900e+03,6.3273e-14
2.1925e+03,1.8289e-13
2.1950e+03,3.0251e-13
2.1975e+03,4.6514e-13
2.2000e+03,5.8938e-13
2.2025e+03,5.8003e-13
2.2050e+03,5.8683e-13
2.2075e+03,6.0265e-13
2.2100e+03,5.0369e-13
2.2125e+03,3.1449e-13
2.2150e+03,3.2995e-13
2.2175e+03,2.9080e-13
2.2200e+03,1.3935e-13
2.2225e+03,1.5378e-14
2.2250e+03,2.3064e-14
2.2275e+03,3.0751e-14
2.2300e+03,3.8437e-14
2.2325e+03,4.6125e-14
2.2350e+03,5.3810e-14
2.2375e+03,5.9167e-14
2.2400e+03,1.8543e-13
2.2425e+03,4.9304e-13
2.2450e+03,6.4324e-13
2.2475e+03,7.3219e-13
2.2500e+03,8.4730e-13
2.2525e+03,9.8178e-13
2.2550e+03,1.2278e-12
2.2575e+03,1.3122e-12
2.2600e+03,1.1906e-12
2.2625e+03,1.0907e-12
2.2650e+03,1.0295e-12
2.2675e+03,1.0639e-12
2.2700e+03,1.1315e-12
2.2725e+03,1.2145e-12
2.2750e+03,1.2844e-12
2.2775e+03,1.2037e-12
2.2800e+03,1.0838e-12
2.2825e+03,9.2149e-13
2.2850e+03,7.1997e-13
2.2875e+03,5.1311e-13
2.2900e+03,4.3634e-13
2.2925e+03,3.8415e-13
2.2950e+03,2.7330e-13
2.2975e+03,2.2285e-13
2.3000e+03,2.2815e-13
2.3025e+03,2.6287e-13
2.3050e+03,3.3507e-13
2.3075e+03,3.3403e-13
2.3100e+03,3.3792e-13
2.3125e+03,4.0165e-13
2.3150e+03,4.8064e-13
2.3175e+03,6.3967e-13
2.3200e+03,9.1719e-13
2.3225e+03,1.2878e-12
2.3250e+03,1.4933e-12
2.3275e+03,1.6919e-12
2.3300e+03,1.8498e-12
2.3325e+03,1.9216e-12
2.3350e+03,1.7859e-12
2.3375e+03,1.6657e-12
2.3400e+03,1.5559e-12
2.3425e+03,1.3030e-12
2.3450e+03,9.1818e-13
2.3475e+03,6.9502e-13
2.3500e+03,5.6399e-13
2.3525e+03,5.9876e-13
2.3550e+03,7.0441e-13
2.3575e+03,1.0346e-12
2.3600e+03,1.1617e-12
2.3625e+03,1.1831e-12
2.3650e+03,1.4092e-12
2.3675e+03,1.6355e-12
2.3700e+03,1.5792e-12
2.3725e+03,1.6432e-12
2.3750e+03,1.9421e-12
2.3775e+03,1.8893e-12
2.3800e+03,1.7254e-12
2.3825e+03,1.6179e-12
2.3850e+03,1.5479e-12
