# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,1.7596e-12
2.0025e+03,2.1188e-12
2.0050e+03,1.7548e-12
2.0075e+03,3.1287e-12
2.0100e+03,3.5950e-12
2.0125e+03,3.3483e-12
2.0150e+03,3.1702e-12
2.0175e+03,3.0665e-12
2.0200e+03,1.6132e-12
2.0225e+03,6.1570e-13
2.0250e+03,1.2639e-12
2.0275e+03,1.7723e-12
2.0300e+03,1.7213e-12
2.0325e+03,2.3401e-12
2.0350e+03,3.4054e-12
2.0375e+03,2.9388e-12
2.0400e+03,2.4722e-12
2.0425e+03,2.4375e-12
2.0450e+03,2.6755e-12
2.0475e+03,3.4130e-12
2.0500e+03,3.7939e-12
2.0525e+03,4.0359e-12
2.0550e+03,3.5805e-12
2.0575e+03,2.7327e-12
2.0600e+03,3.0850e-12
2.0625e+03,3.8704e-12
2.0650e+03,5.3371e-12
2.0675e+03,6.0787e-12
2.0700e+03,4.9557e-12
2.0725e+03,4.5201e-12
2.0750e+03,4.5114e-12
2.0775e+03,5.6889e-12
2.0800e+03,6.8664e-12
2.0825e+03,7.2764e-12
2.0850e+03,7.2200e-12
2.0875e+03,6.4638e-12
2.0900e+03,6.0414e-12
2.0925e+03,5.7024e-12
2.0950e+03,5.4627e-12
2.0975e+03,5.1893e-12
2.1000e+03,4.3902e-12
2.1025e+03,3.6849e-12
2.1050e+03,3.0992e-12
2.1075e+03,2.2068e-12
2.1100e+03,7.6885e-13
2.1125e+03,1.4105e-12
2.1150e+03,2.5662e-12
2.1175e+03,2.9723e-12
2.1200e+03,3.4343e-12
2.1225e+03,4.5395e-12
2.1250e+03,5.4894e-12
2.1275e+03,6.2705e-12
2.1300e+03,6.7262e-12
2.1325e+03,7.1373e-12
2.1350e+03,7.4136e-12
2.1375e+03,7.3690e-12
2.1400e+03,6.1753e-12
2.1425e+03,4.4433e-12
2.1450e+03,2.3529e-12
2.1475e+03,1.4112e-12
2.1500e+03,1.5301e-12
2.1525e+03,1.8455e-12
2.1550e+03,1.8973e-12
2.1575e+03,9.9532e-13
2.1600e+03,4.7313e-13
2.1625e+03,1.9455e-12
2.1650e+03,2.5979e-12
2.1675e+03,2.6059e-12
2.1700e+03,2.3764e-12
2.1725e+03,2.1371e-12
2.1750e+03,1.7543e-12
2.1775e+03,1.4668e-12
2.1800e+03,1.4751e-12
2.1825e+03,1.2197e-12
2.1850e+03,9.1991e-13
2.1875e+03,6.2017e-13
2.1900e+03,3.2044e-13
2.1925e+03,9.2625e-13
2.1950e+03,1.5320e-12
2.1975e+03,2.3558e-12
2.2000e+03,2.9849e-12
2.2025e+03,2.9376e-12
2.2050e+03,2.9719e-12
2.2075e+03,3.0522e-12
2.2100e+03,2.5509e-12
2.2125e+03,1.5927e-12
2.2150e+03,1.6711e-12
2.2175e+03,1.4727e-12
2.2200e+03,7.0575e-13
2.2225e+03,7.7881e-14
2.2250e+03,1.1681e-13
2.2275e+03,1.5574e-13
2.2300e+03,1.9466e-13
2.2325e+03,2.3359e-13
2.2350e+03,2.7252e-13
2.2375e+03,2.9965e-13
2.2400e+03,9.3913e-13
2.2425e+03,2.4970e-12
2.2450e+03,3.2577e-12
2.2475e+03,3.7083e-12
2.2500e+03,4.2910e-12
2.2525e+03,4.9722e-12
2.2550e+03,6.2185e-12
2.2575e+03,6.6453e-12
2.2600e+03,6.0297e-12
2.2625e+03,5.5242e-12
2.2650e+03,5.2141e-12
2.2675e+03,5.3884e-12
2.2700e+03,5.7306e-12
2.2725e+03,6.1508e-12
2.2750e+03,6.5051e-12
2.2775e+03,6.0959e-12
2.2800e+03,5.4887e-12
2.2825e+03,4.6669e-12
2.2850e+03,3.6462e-12
2.2875e+03,2.5985e-12
2.2900e+03,2.2099e-12
2.2925e+03,1.9455e-12
2.2950e+03,1.3842e-12
2.2975e+03,1.1286e-12
2.3000e+03,1.1555e-12
2.3025e+03,1.3313e-12
2.3050e+03,1.6969e-12
2.3075e+03,1.6917e-12
2.3100e+03,1.7114e-12
2.3125e+03,2.0341e-12
2.3150e+03,2.4340e-12
2.3175e+03,3.2397e-12
2.3200e+03,4.6450e-12
2.3225e+03,6.5220e-12
2.3250e+03,7.5626e-12
2.3275e+03,8.5685e-12
2.3300e+03,9.3683e-12
2.3325e+03,9.7317e-12
2.3350e+03,9.0447e-12
2.3375e+03,8.4360e-12
2.3400e+03,7.8796e-12
2.3425e+03,6.5992e-12
2.3450e+03,4.6501e-12
2.3475e+03,3.5199e-12
2.3500e+03,2.8562e-12
2.3525e+03,3.0324e-12
2.3550e+03,3.5675e-12
2.3575e+03,5.2398e-12
2.3600e+03,5.8833e-12
2.3625e+03,5.9916e-12
2.3650e+03,7.1373e-12
2.3675e+03,8.2826e-12
2.3700e+03,7.9978e-12
2.3725e+03,8.3221e-12
2.3750e+03,9.8357e-12
2.3775e+03,9.5681e-12
2.3800e+03,8.7379e-12
2.3825e+03,8.1937e-12
2.3850e+03,7.8393e-12
