# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,1.2123e-12
2.0025e+03,1.4598e-12
2.0050e+03,1.2090e-12
2.0075e+03,2.1556e-12
2.0100e+03,2.4768e-12
2.0125e+03,2.3069e-12
2.0150e+03,2.1842e-12
2.0175e+03,2.1127e-12
2.0200e+03,1.1115e-12
2.0225e+03,4.2419e-13
2.0250e+03,8.7083e-13
2.0275e+03,1.2211e-12
2.0300e+03,1.1859e-12
2.0325e+03,1.6123e-12
2.0350e+03,2.3462e-12
2.0375e+03,2.0248e-12
2.0400e+03,1.7033e-12
2.0425e+03,1.6794e-12
2.0450e+03,1.8433e-12
2.0475e+03,2.3515e-12
2.0500e+03,2.6138e-12
2.0525e+03,2.7806e-12
2.0550e+03,2.4669e-12
2.0575e+03,1.8827e-12
2.0600e+03,2.1254e-12
2.0625e+03,2.6666e-12
2.0650e+03,3.6773e-12
2.0675e+03,4.1883e-12
2.0700e+03,3.4144e-12
2.0725e+03,3.1144e-12
2.0750e+03,3.1083e-12
2.0775e+03,3.9195e-12
2.0800e+03,4.7307e-12
2.0825e+03,5.0130e-12
2.0850e+03,4.9743e-12
2.0875e+03,4.4533e-12
2.0900e+03,4.1623e-12
2.0925e+03,3.9288e-12
2.0950e+03,3.7634e-12
2.0975e+03,3.5752e-12
2.1000e+03,3.0247e-12
2.1025e+03,2.5388e-12
2.1050e+03,2.1353e-12
2.1075e+03,1.5204e-12
2.1100e+03,5.2971e-13
2.1125e+03,9.7178e-13
2.1150e+03,1.7681e-12
2.1175e+03,2.0478e-12
2.1200e+03,2.3661e-12
2.1225e+03,3.1276e-12
2.1250e+03,3.7821e-12
2.1275e+03,4.3204e-12
2.1300e+03,4.6342e-12
2.1325e+03,4.9172e-12
2.1350e+03,5.1078e-12
2.1375e+03,5.0771e-12
2.1400e+03,4.2547e-12
2.1425e+03,3.0614e-12
2.1450e+03,1.6211e-12
2.1475e+03,9.7230e-13
2.1500e+03,1.0542e-12
2.1525e+03,1.2715e-12
2.1550e+03,1.3072e-12
2.1575e+03,6.8574e-13
2.1600e+03,3.2597e-13
2.1625e+03,1.3404e-12
2.1650e+03,1.7899e-12
2.1675e+03,1.7954e-12
2.1700e+03,1.6373e-12
2.1725e+03,1.4724e-12
2.1750e+03,1.2086e-12
2.1775e+03,1.0106e-12
2.1800e+03,1.0163e-12
2.1825e+03,8.4032e-13
2.1850e+03,6.3378e-13
2.1875e+03,4.2730e-13
2.1900e+03,2.2078e-13
2.1925e+03,6.3817e-13
2.1950e+03,1.0555e-12
2.1975e+03,1.6231e-12
2.2000e+03,2.0565e-12
2.2025e+03,2.0239e-12
2.2050e+03,2.0476e-12
2.2075e+03,2.1029e-12
2.2100e+03,1.7575e-12
2.2125e+03,1.0973e-12
2.2150e+03,1.1513e-12
2.2175e+03,1.0147e-12
2.2200e+03,4.8622e-13
2.2225e+03,5.3659e-14
2.2250e+03,8.0479e-14
2.2275e+03,1.0730e-13
2.2300e+03,1.3412e-13
2.2325e+03,1.6094e-13
2.2350e+03,1.8776e-13
2.2375e+03,2.0646e-13
2.2400e+03,6.4703e-13
2.2425e+03,1.7204e-12
2.2450e+03,2.2444e-12
2.2475e+03,2.5548e-12
2.2500e+03,2.9565e-12
2.2525e+03,3.4258e-12
2.2550e+03,4.2844e-12
2.2575e+03,4.5785e-12
2.2600e+03,4.1544e-12
2.2625e+03,3.8060e-12
2.2650e+03,3.5922e-12
2.2675e+03,3.7126e-12
2.2700e+03,3.9482e-12
2.2725e+03,4.2377e-12
2.2750e+03,4.4816e-12
2.2775e+03,4.2000e-12
2.2800e+03,3.7818e-12
2.2825e+03,3.2153e-12
2.2850e+03,2.5121e-12
2.2875e+03,1.7903e-12
2.2900e+03,1.5226e-12
2.2925e+03,1.3404e-12
2.2950e+03,9.5362e-13
2.2975e+03,7.7759e-13
2.3000e+03,7.9607e-13
2.3025e+03,9.1723e-13
2.3050e+03,1.1692e-12
2.3075e+03,1.1655e-12
2.3100e+03,1.1791e-12
2.3125e+03,1.4014e-12
2.3150e+03,1.6770e-12
2.3175e+03,2.2321e-12
2.3200e+03,3.2004e-12
2.3225e+03,4.4934e-12
2.3250e+03,5.2106e-12
2.3275e+03,5.9032e-12
2.3300e+03,6.4543e-12
2.3325e+03,6.7048e-12
2.3350e+03,6.2315e-12
2.3375e+03,5.8122e-12
2.3400e+03,5.4289e-12
2.3425e+03,4.5467e-12
2.3450e+03,3.2037e-12
2.3475e+03,2.4251e-12
2.3500e+03,1.9679e-12
2.3525e+03,2.0892e-12
2.3550e+03,2.4579e-12
2.3575e+03,3.6102e-12
2.3600e+03,4.0537e-12
2.3625e+03,4.1281e-12
2.3650e+03,4.9172e-12
2.3675e+03,5.7064e-12
2.3700e+03,5.5102e-12
2.3725e+03,5.7337e-12
2.3750e+03,6.7764e-12
2.3775e+03,6.5920e-12
2.3800e+03,6.0202e-12
2.3825e+03,5.6451e-12
2.3850e+03,5.4012e-12
