# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,0.0000e+00
9.4000e+02,0.0000e+00
9.6200e+02,0.0000e+00
9.8700e+02,0.0000e+00
1.0120e+03,0.0000e+00
1.0370e+03,0.0000e+00
1.0620e+03,0.0000e+00
1.0870e+03,0.0000e+00
1.1120e+03,0.0000e+00
1.1200e+03,0.0000e+00
1.1400e+03,0.0000e+00
1.1600e+03,0.0000e+00
1.1800e+03,0.0000e+00
1.2000e+03,0.0000e+00
1.2200e+03,0.0000e+00
1.2400e+03,0.0000e+00
1.2600e+03,0.0000e+00
1.2800e+03,0.0000e+00
1.3000e+03,0.0000e+00
1.3200e+03,0.0000e+00
1.3400e+03,0.0000e+00
1.3600e+03,0.0000e+00
1.3800e+03,0.0000e+00
1.4000e+03,0.0000e+00
1.4200e+03,0.0000e+00
1.4400e+03,0.0000e+00
1.4600e+03,0.0000e+00
1.4800e+03,0.0000e+00
1.5000e+03,0.0000e+00
1.5200e+03,0.0000e+00
1.5400e+03,0.0000e+00
1.5600e+03,0.0000e+00
1.5800e+03,0.0000e+00
1.6000e+03,0.0000e+00
1.6200e+03,0.0000e+00
1.6400e+03,0.0000e+00
1.6600e+03,0.0000e+00
1.6800e+03,0.0000e+00
1.7000e+03,0.0000e+00
1.7200e+03,0.0000e+00
1.7400e+03,0.0000e+00
1.7600e+03,0.0000e+00
1.7800e+03,0.0000e+00
1.8000e+03,0.0000e+00
1.8200e+03,0.0000e+00
1.8400e+03,0.0000e+00
1.8600e+03,0.0000e+00
1.8800e+03,0.0000e+00
1.9000e+03,0.0000e+00
1.9200e+03,0.0000e+00
1.9400e+03,0.0000e+00
1.9600e+03,0.0000e+00
1.9800e+03,0.0000e+00
2.0000e+03,3.4499e-12
2.0025e+03,3.4499e-12
2.0050e+03,4.1543e-12
2.0075e+03,3.4405e-12
2.0100e+03,6.1340e-12
2.0125e+03,7.0484e-12
2.0150e+03,6.5648e-12
2.0175e+03,6.2156e-12
2.0200e+03,6.0123e-12
2.0225e+03,3.1628e-12
2.0250e+03,1.2072e-12
2.0275e+03,2.4781e-12
2.0300e+03,3.4749e-12
2.0325e+03,3.3749e-12
2.0350e+03,4.5880e-12
2.0375e+03,6.6766e-12
2.0400e+03,5.7618e-12
2.0425e+03,4.8469e-12
2.0450e+03,4.7792e-12
2.0475e+03,5.2457e-12
2.0500e+03,6.6915e-12
2.0525e+03,7.4381e-12
2.0550e+03,7.9127e-12
2.0575e+03,7.0200e-12
2.0600e+03,5.3579e-12
2.0625e+03,6.0484e-12
2.0650e+03,7.5885e-12
2.0675e+03,1.0464e-11
2.0700e+03,1.1918e-11
2.0725e+03,9.7165e-12
2.0750e+03,8.8625e-12
2.0775e+03,8.8453e-12
2.0800e+03,1.1154e-11
2.0825e+03,1.3462e-11
2.0850e+03,1.4266e-11
2.0875e+03,1.4156e-11
2.0900e+03,1.2673e-11
2.0925e+03,1.1845e-11
2.0950e+03,1.1180e-11
2.0975e+03,1.0710e-11
2.1000e+03,1.0174e-11
2.1025e+03,8.6075e-12
2.1050e+03,7.2247e-12
2.1075e+03,6.0764e-12
2.1100e+03,4.3265e-12
2.1125e+03,1.5074e-12
2.1150e+03,2.7654e-12
2.1175e+03,5.0312e-12
2.1200e+03,5.8277e-12
2.1225e+03,6.7334e-12
2.1250e+03,8.9003e-12
2.1275e+03,1.0762e-11
2.1300e+03,1.2294e-11
2.1325e+03,1.3188e-11
2.1350e+03,1.3993e-11
2.1375e+03,1.4535e-11
2.1400e+03,1.4448e-11
2.1425e+03,1.2107e-11
2.1450e+03,8.7120e-12
2.1475e+03,4.6131e-12
2.1500e+03,2.7669e-12
2.1525e+03,2.9998e-12
2.1550e+03,3.6183e-12
2.1575e+03,3.7198e-12
2.1600e+03,1.9514e-12
2.1625e+03,9.2762e-13
2.1650e+03,3.8145e-12
2.1675e+03,5.0935e-12
2.1700e+03,5.1092e-12
2.1725e+03,4.6594e-12
2.1750e+03,4.1900e-12
2.1775e+03,3.4394e-12
2.1800e+03,2.8759e-12
2.1825e+03,2.8921e-12
2.1850e+03,2.3912e-12
2.1875e+03,1.8036e-12
2.1900e+03,1.2159e-12
2.1925e+03,6.2826e-13
2.1950e+03,1.8160e-12
2.1975e+03,3.0038e-12
2.2000e+03,4.6186e-12
2.2025e+03,5.8521e-12
2.2050e+03,5.7596e-12
2.2075e+03,5.8270e-12
2.2100e+03,5.9843e-12
2.2125e+03,5.0014e-12
2.2150e+03,3.1227e-12
2.2175e+03,3.2763e-12
2.2200e+03,2.8875e-12
2.2225e+03,1.3837e-12
2.2250e+03,1.5270e-13
2.2275e+03,2.2902e-13
2.2300e+03,3.0534e-13
2.2325e+03,3.8167e-13
2.2350e+03,4.5800e-13
2.2375e+03,5.3430e-13
2.2400e+03,5.8750e-13
2.2425e+03,1.8412e-12
2.2450e+03,4.8957e-12
2.2475e+03,6.3871e-12
2.2500e+03,7.2702e-12
2.2525e+03,8.4134e-12
2.2550e+03,9.7489e-12
2.2575e+03,1.2192e-11
2.2600e+03,1.3029e-11
2.2625e+03,1.1822e-11
2.2650e+03,1.0831e-11
2.2675e+03,1.0223e-11
2.2700e+03,1.0565e-11
2.2725e+03,1.1235e-11
2.2750e+03,1.2060e-11
2.2775e+03,1.2754e-11
2.2800e+03,1.1952e-11
2.2825e+03,1.0761e-11
2.2850e+03,9.1498e-12
2.2875e+03,7.1490e-12
2.2900e+03,5.0946e-12
2.2925e+03,4.3327e-12
2.2950e+03,3.8145e-12
2.2975e+03,2.7138e-12
2.3000e+03,2.2128e-12
2.3025e+03,2.2654e-12
2.3050e+03,2.6102e-12
2.3075e+03,3.3270e-12
2.3100e+03,3.3167e-12
2.3125e+03,3.3553e-12
2.3150e+03,3.9882e-12
2.3175e+03,4.7723e-12
2.3200e+03,6.3518e-12
2.3225e+03,9.1076e-12
2.3250e+03,1.2787e-11
2.3275e+03,1.4827e-11
2.3300e+03,1.6799e-11
2.3325e+03,1.8368e-11
2.3350e+03,1.9080e-11
2.3375e+03,1.7733e-11
2.3400e+03,1.6539e-11
2.3425e+03,1.5449e-11
2.3450e+03,1.2938e-11
2.3475e+03,9.1167e-12
2.3500e+03,6.9013e-12
2.3525e+03,5.6001e-12
2.3550e+03,5.9453e-12
2.3575e+03,6.9945e-12
2.3600e+03,1.0273e-11
2.3625e+03,1.1535e-11
2.3650e+03,1.1747e-11
2.3675e+03,1.3993e-11
2.3700e+03,1.6239e-11
2.3725e+03,1.5680e-11
2.3750e+03,1.6316e-11
2.3775e+03,1.9284e-11
2.3800e+03,1.8759e-11
2.3825e+03,1.7132e-11
2.3850e+03,1.6064e-11
