# # wavelength, f_lambda
4.e+03,0.00
5.400000000000000000e+03,4.642794090985459592e-13
5.500000000000000000e+03,8.378123912448990750e-13
5.600000000000000909e+03,7.914826801871424931e-13
5.699999999999999091e+03,5.982082144077072099e-13
5.800000000000000000e+03,5.559786592746789591e-13
5.900000000000000000e+03,6.926161739663200326e-13
6.000000000000000000e+03,5.017751283070167148e-13
6.100000000000000000e+03,3.951854352095081536e-13
6.200000000000000000e+03,1.560223209812435186e-13
6.300000000000000000e+03,5.104130882810582335e-13
6.400000000000000000e+03,4.561734555006836594e-13
6.500000000000000000e+03,3.548031322990911514e-13
6.600000000000000000e+03,2.387623941844214373e-13
6.700000000000000000e+03,2.052940552052973877e-13
6.800000000000000909e+03,3.231411296910769303e-13
6.899999999999999091e+03,3.225977162469776737e-13
7.000000000000000000e+03,1.361938782053714112e-13
7.100000000000000000e+03,1.755757337340606941e-13
7.200000000000000000e+03,7.176513284716050202e-14
7.300000000000000000e+03,5.745393910794520341e-14
7.400000000000000000e+03,1.289293707887436103e-13
7.500000000000000000e+03,2.246093062129279980e-13
7.600000000000000000e+03,1.590872346202631669e-13
7.700000000000000000e+03,1.093774757037072109e-13
7.800000000000000000e+03,5.969338913056541410e-14
7.900000000000000000e+03,5.509100725948725965e-14
8.000000000000000000e+03,4.573989742791874242e-14
8.100000000000000909e+03,5.725163209505865281e-14
8.200000000000000000e+03,1.191581391138667400e-13
8.300000000000000000e+03,1.619575554130178490e-13
8.400000000000000000e+03,3.864628994787698470e-14
8.500000000000000000e+03,5.099168880777854511e-14
8.600000000000000000e+03,2.538750842273661539e-14
8.700000000000000000e+03,2.679991687891927240e-14
8.800000000000000000e+03,2.456447680458935622e-14
8.900000000000000000e+03,1.367100539757353850e-14
9.000000000000000000e+03,1.553998263462468843e-14
9.100000000000000000e+03,2.714749044862213965e-14
9.200000000000000000e+03,3.092991091965027977e-14
9.300000000000000000e+03,7.281674229021621454e-14
9.400000000000000000e+03,1.207417856732888183e-13
9.500000000000000000e+03,4.228252896831468523e-14
9.600000000000000000e+03,2.472116714210937211e-14
9.700000000000000000e+03,1.385054538129450522e-14
9.800000000000000000e+03,1.555306041217200886e-14
9.900000000000000000e+03,1.121323509623711776e-14
1.000000000000000000e+04,1.272888797422199738e-14
1.010000000000000000e+04,1.552361260315263148e-14
1.020000000000000000e+04,1.920239273464052429e-14
1.030000000000000000e+04,2.523891355101328857e-14
1.040000000000000000e+04,3.146767544077293165e-14
1.050000000000000000e+04,3.768520359343492327e-14
1.060000000000000000e+04,4.271775712279637296e-14
1.070000000000000000e+04,4.674080997285002422e-14
1.080000000000000000e+04,4.080791182194615670e-14
1.090000000000000000e+04,2.439343177530005639e-14
1.100000000000000000e+04,1.249911563734214958e-14
1.110000000000000182e+04,9.030514800918752385e-15
1.120000000000000182e+04,6.567280734520086567e-15
1.129999999999999818e+04,4.952715092419141204e-15
1.139999999999999818e+04,3.386159965360111641e-15
1.150000000000000000e+04,2.717060417079773344e-15
1.160000000000000000e+04,3.718888011991676109e-15
1.170000000000000000e+04,4.794401702488128487e-15
1.180000000000000000e+04,5.815853113685722489e-15
1.190000000000000000e+04,6.695950606653484959e-15
1.200000000000000000e+04,7.321598029822220779e-15
1.210000000000000000e+04,7.828471589547162771e-15
1.220000000000000000e+04,8.605638785306369287e-15
1.230000000000000000e+04,9.127133726935024314e-15
1.240000000000000000e+04,1.139039763030697131e-14
1.250000000000000000e+04,1.395833684447999878e-14
1.260000000000000000e+04,1.603538419529100358e-14
1.270000000000000000e+04,1.806524184880401639e-14
1.280000000000000000e+04,1.813777307083129918e-14
1.290000000000000000e+04,1.646669661140075640e-14
1.300000000000000000e+04,1.237699371572544211e-14
1.310000000000000000e+04,7.824022385901754043e-15
1.320000000000000000e+04,6.311574114333103473e-15
1.330000000000000000e+04,4.851353445785516535e-15
1.340000000000000000e+04,3.558407583734684279e-15
1.350000000000000000e+04,2.490292467304252481e-15
1.360000000000000182e+04,2.219754385980751940e-15
1.370000000000000182e+04,1.952188940101230250e-15
