# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,1.5509e-08
2.6000e+02,4.4628e-08
2.6600e+02,1.4949e-07
2.7500e+02,2.8387e-07
2.8300e+02,2.9733e-07
2.9300e+02,1.7055e-07
3.0100e+02,1.4761e-07
3.0900e+02,4.2477e-07
3.2500e+02,1.0137e-06
3.4200e+02,1.2064e-06
3.5100e+02,1.1085e-06
3.5600e+02,1.0240e-06
3.6500e+02,8.3436e-07
3.7500e+02,6.6010e-07
3.8400e+02,6.0541e-07
4.0000e+02,7.3046e-07
4.1500e+02,7.4614e-07
4.2500e+02,7.6761e-07
4.4500e+02,8.3236e-07
4.7200e+02,8.3881e-07
4.9400e+02,8.4979e-07
5.0600e+02,8.8362e-07
5.1600e+02,9.1690e-07
5.4000e+02,8.5821e-07
5.6400e+02,8.8945e-07
5.8700e+02,8.6590e-07
6.1200e+02,8.5011e-07
6.4000e+02,8.0093e-07
6.7100e+02,7.9324e-07
7.0500e+02,7.3845e-07
7.3600e+02,7.3881e-07
7.7000e+02,6.6167e-07
8.1000e+02,6.4439e-07
8.5000e+02,5.8441e-07
8.9000e+02,5.6152e-07
9.2000e+02,5.9375e-07
9.4000e+02,8.3867e-07
9.6200e+02,9.7564e-07
9.8700e+02,9.5799e-07
1.0120e+03,8.9981e-07
1.0370e+03,8.4031e-07
1.0620e+03,8.0119e-07
1.0870e+03,7.6276e-07
1.1120e+03,7.1446e-07
1.1200e+03,7.2481e-07
1.1400e+03,6.8748e-07
1.1600e+03,6.6258e-07
1.1800e+03,6.1828e-07
1.2000e+03,5.7205e-07
1.2200e+03,5.4905e-07
1.2400e+03,5.3290e-07
1.2600e+03,5.0577e-07
1.2800e+03,4.8372e-07
1.3000e+03,4.5481e-07
1.3200e+03,4.2681e-07
1.3400e+03,4.0373e-07
1.3600e+03,3.8200e-07
1.3800e+03,3.6753e-07
1.4000e+03,3.5352e-07
1.4200e+03,3.3964e-07
1.4400e+03,3.2863e-07
1.4600e+03,3.2241e-07
1.4800e+03,3.1653e-07
1.5000e+03,3.0570e-07
1.5200e+03,2.8792e-07
1.5400e+03,2.6036e-07
1.5600e+03,2.3153e-07
1.5800e+03,2.4919e-07
1.6000e+03,2.4314e-07
1.6200e+03,2.3487e-07
1.6400e+03,2.2704e-07
1.6600e+03,2.1968e-07
1.6800e+03,2.1189e-07
1.7000e+03,2.0404e-07
1.7200e+03,1.9789e-07
1.7400e+03,1.9375e-07
1.7600e+03,1.8674e-07
1.7800e+03,1.8299e-07
1.8000e+03,1.7617e-07
1.8200e+03,1.6890e-07
1.8400e+03,1.6581e-07
1.8600e+03,1.5902e-07
1.8800e+03,1.5407e-07
1.9000e+03,1.4927e-07
1.9200e+03,1.4441e-07
1.9400e+03,1.4178e-07
1.9600e+03,1.3750e-07
1.9800e+03,1.3271e-07
2.0000e+03,1.2852e-07
2.0025e+03,1.2803e-07
2.0050e+03,1.2755e-07
2.0075e+03,1.2706e-07
2.0100e+03,1.2657e-07
2.0125e+03,1.2608e-07
2.0150e+03,1.2560e-07
2.0175e+03,1.2511e-07
2.0200e+03,1.2463e-07
2.0225e+03,1.2414e-07
2.0250e+03,1.2365e-07
2.0275e+03,1.2316e-07
2.0300e+03,1.2268e-07
2.0325e+03,1.2219e-07
2.0350e+03,1.2170e-07
2.0375e+03,1.2121e-07
2.0400e+03,1.2073e-07
2.0425e+03,1.2054e-07
2.0450e+03,1.2035e-07
2.0475e+03,1.2017e-07
2.0500e+03,1.1998e-07
2.0525e+03,1.1980e-07
2.0550e+03,1.1961e-07
2.0575e+03,1.1942e-07
2.0600e+03,1.1924e-07
2.0625e+03,1.1873e-07
2.0650e+03,1.1823e-07
2.0675e+03,1.1772e-07
2.0700e+03,1.1722e-07
2.0725e+03,1.1671e-07
2.0750e+03,1.1620e-07
2.0775e+03,1.1570e-07
2.0800e+03,1.1519e-07
2.0825e+03,1.1473e-07
2.0850e+03,1.1426e-07
2.0875e+03,1.1380e-07
2.0900e+03,1.1334e-07
2.0925e+03,1.1287e-07
2.0950e+03,1.1240e-07
2.0975e+03,1.1194e-07
2.1000e+03,1.1147e-07
2.1025e+03,1.1108e-07
2.1050e+03,1.1070e-07
2.1075e+03,1.1031e-07
2.1100e+03,1.0992e-07
2.1125e+03,1.0953e-07
2.1150e+03,1.0914e-07
2.1175e+03,1.0875e-07
2.1200e+03,1.0836e-07
2.1225e+03,1.0798e-07
2.1250e+03,1.0761e-07
2.1275e+03,1.0724e-07
2.1300e+03,1.0686e-07
2.1325e+03,1.0649e-07
2.1350e+03,1.0612e-07
2.1375e+03,1.0574e-07
2.1400e+03,1.0537e-07
2.1425e+03,1.0499e-07
2.1450e+03,1.0460e-07
2.1475e+03,1.0422e-07
2.1500e+03,1.0384e-07
2.1525e+03,1.0346e-07
2.1550e+03,1.0307e-07
2.1575e+03,1.0269e-07
2.1600e+03,1.0231e-07
2.1625e+03,1.0192e-07
2.1650e+03,1.0153e-07
2.1675e+03,1.0113e-07
2.1700e+03,1.0074e-07
2.1725e+03,1.0035e-07
2.1750e+03,9.9963e-08
2.1775e+03,9.9573e-08
2.1800e+03,9.9182e-08
2.1825e+03,9.8814e-08
2.1850e+03,9.8446e-08
2.1875e+03,9.8078e-08
2.1900e+03,9.7710e-08
2.1925e+03,9.7341e-08
2.1950e+03,9.6977e-08
2.1975e+03,9.6609e-08
2.2000e+03,9.6240e-08
2.2025e+03,9.5909e-08
2.2050e+03,9.5573e-08
2.2075e+03,9.5241e-08
2.2100e+03,9.4910e-08
2.2125e+03,9.4574e-08
2.2150e+03,9.4242e-08
2.2175e+03,9.3911e-08
2.2200e+03,9.3579e-08
2.2225e+03,9.3265e-08
2.2250e+03,9.2952e-08
2.2275e+03,9.2638e-08
2.2300e+03,9.2321e-08
2.2325e+03,9.2008e-08
2.2350e+03,9.1694e-08
2.2375e+03,9.1381e-08
2.2400e+03,9.1067e-08
2.2425e+03,9.0677e-08
2.2450e+03,9.0283e-08
2.2475e+03,8.9893e-08
2.2500e+03,8.9499e-08
2.2525e+03,8.9109e-08
2.2550e+03,8.8715e-08
2.2575e+03,8.8325e-08
2.2600e+03,8.7932e-08
2.2625e+03,8.7593e-08
2.2650e+03,8.7250e-08
2.2675e+03,8.6907e-08
2.2700e+03,8.6565e-08
2.2725e+03,8.6225e-08
2.2750e+03,8.5883e-08
2.2775e+03,8.5540e-08
2.2800e+03,8.5197e-08
2.2825e+03,8.4869e-08
2.2850e+03,8.4541e-08
2.2875e+03,8.4213e-08
2.2900e+03,8.3885e-08
2.2925e+03,8.3557e-08
2.2950e+03,8.3229e-08
2.2975e+03,8.2901e-08
2.3000e+03,8.2576e-08
2.3025e+03,8.2292e-08
2.3050e+03,8.2011e-08
2.3075e+03,8.1727e-08
2.3100e+03,8.1446e-08
2.3125e+03,8.1162e-08
2.3150e+03,8.0881e-08
2.3175e+03,8.0596e-08
2.3200e+03,8.0316e-08
2.3225e+03,8.0086e-08
2.3250e+03,7.9853e-08
2.3275e+03,7.9623e-08
2.3300e+03,7.9393e-08
2.3325e+03,7.9164e-08
2.3350e+03,7.8934e-08
2.3375e+03,7.8701e-08
2.3400e+03,7.8471e-08
2.3425e+03,7.8187e-08
2.3450e+03,7.7902e-08
2.3475e+03,7.7618e-08
2.3500e+03,7.7330e-08
2.3525e+03,7.7045e-08
2.3550e+03,7.6761e-08
2.3575e+03,7.6477e-08
2.3600e+03,7.6192e-08
2.3625e+03,7.5810e-08
2.3650e+03,7.5430e-08
2.3675e+03,7.5048e-08
2.3700e+03,7.4668e-08
2.3725e+03,7.4286e-08
2.3750e+03,7.3903e-08
2.3775e+03,7.3524e-08
2.3800e+03,7.3141e-08
2.3825e+03,7.2897e-08
2.3850e+03,7.2656e-08
