# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,1.4787e-08
2.6000e+02,4.2548e-08
2.6600e+02,1.4254e-07
2.7500e+02,2.7065e-07
2.8300e+02,2.8349e-07
2.9300e+02,1.6261e-07
3.0100e+02,1.4074e-07
3.0900e+02,4.0500e-07
3.2500e+02,9.6647e-07
3.4200e+02,1.1503e-06
3.5100e+02,1.0569e-06
3.5600e+02,9.7637e-07
3.6500e+02,7.9555e-07
3.7500e+02,6.2938e-07
3.8400e+02,5.7724e-07
4.0000e+02,6.9645e-07
4.1500e+02,7.1141e-07
4.2500e+02,7.3190e-07
4.4500e+02,7.9362e-07
4.7200e+02,7.9977e-07
4.9400e+02,8.1021e-07
5.0600e+02,8.4245e-07
5.1600e+02,8.7422e-07
5.4000e+02,8.1825e-07
5.6400e+02,8.4806e-07
5.8700e+02,8.2560e-07
6.1200e+02,8.1054e-07
6.4000e+02,7.6363e-07
6.7100e+02,7.5628e-07
7.0500e+02,7.0409e-07
7.3600e+02,7.0442e-07
7.7000e+02,6.3084e-07
8.1000e+02,6.1439e-07
8.5000e+02,5.5718e-07
8.9000e+02,5.3535e-07
9.2000e+02,5.6610e-07
9.4000e+02,7.9962e-07
9.6200e+02,9.3019e-07
9.8700e+02,9.1338e-07
1.0120e+03,8.5792e-07
1.0370e+03,8.0119e-07
1.0620e+03,7.6388e-07
1.0870e+03,7.2724e-07
1.1120e+03,6.8117e-07
1.1200e+03,6.9107e-07
1.1400e+03,6.5548e-07
1.1600e+03,6.3175e-07
1.1800e+03,5.8950e-07
1.2000e+03,5.4543e-07
1.2200e+03,5.2349e-07
1.2400e+03,5.0809e-07
1.2600e+03,4.8222e-07
1.2800e+03,4.6118e-07
1.3000e+03,4.3364e-07
1.3200e+03,4.0692e-07
1.3400e+03,3.8494e-07
1.3600e+03,3.6424e-07
1.3800e+03,3.5042e-07
1.4000e+03,3.3706e-07
1.4200e+03,3.2383e-07
1.4400e+03,3.1333e-07
1.4600e+03,3.0740e-07
1.4800e+03,3.0179e-07
1.5000e+03,2.9147e-07
1.5200e+03,2.7451e-07
1.5400e+03,2.4824e-07
1.5600e+03,2.2075e-07
1.5800e+03,2.3759e-07
1.6000e+03,2.3182e-07
1.6200e+03,2.2394e-07
1.6400e+03,2.1647e-07
1.6600e+03,2.0945e-07
1.6800e+03,2.0202e-07
1.7000e+03,1.9454e-07
1.7200e+03,1.8868e-07
1.7400e+03,1.8474e-07
1.7600e+03,1.7805e-07
1.7800e+03,1.7447e-07
1.8000e+03,1.6797e-07
1.8200e+03,1.6103e-07
1.8400e+03,1.5809e-07
1.8600e+03,1.5162e-07
1.8800e+03,1.4690e-07
1.9000e+03,1.4233e-07
1.9200e+03,1.3769e-07
1.9400e+03,1.3517e-07
1.9600e+03,1.3110e-07
1.9800e+03,1.2654e-07
2.0000e+03,1.2254e-07
2.0025e+03,1.2207e-07
2.0050e+03,1.2161e-07
2.0075e+03,1.2114e-07
2.0100e+03,1.2068e-07
2.0125e+03,1.2022e-07
2.0150e+03,1.1975e-07
2.0175e+03,1.1929e-07
2.0200e+03,1.1882e-07
2.0225e+03,1.1836e-07
2.0250e+03,1.1790e-07
2.0275e+03,1.1743e-07
2.0300e+03,1.1696e-07
2.0325e+03,1.1650e-07
2.0350e+03,1.1604e-07
2.0375e+03,1.1557e-07
2.0400e+03,1.1510e-07
2.0425e+03,1.1493e-07
2.0450e+03,1.1475e-07
2.0475e+03,1.1457e-07
2.0500e+03,1.1440e-07
2.0525e+03,1.1422e-07
2.0550e+03,1.1404e-07
2.0575e+03,1.1386e-07
2.0600e+03,1.1369e-07
2.0625e+03,1.1321e-07
2.0650e+03,1.1272e-07
2.0675e+03,1.1224e-07
2.0700e+03,1.1176e-07
2.0725e+03,1.1128e-07
2.0750e+03,1.1080e-07
2.0775e+03,1.1032e-07
2.0800e+03,1.0983e-07
2.0825e+03,1.0939e-07
2.0850e+03,1.0894e-07
2.0875e+03,1.0850e-07
2.0900e+03,1.0806e-07
2.0925e+03,1.0762e-07
2.0950e+03,1.0717e-07
2.0975e+03,1.0673e-07
2.1000e+03,1.0628e-07
2.1025e+03,1.0591e-07
2.1050e+03,1.0554e-07
2.1075e+03,1.0517e-07
2.1100e+03,1.0480e-07
2.1125e+03,1.0443e-07
2.1150e+03,1.0406e-07
2.1175e+03,1.0369e-07
2.1200e+03,1.0331e-07
2.1225e+03,1.0296e-07
2.1250e+03,1.0260e-07
2.1275e+03,1.0224e-07
2.1300e+03,1.0189e-07
2.1325e+03,1.0153e-07
2.1350e+03,1.0117e-07
2.1375e+03,1.0082e-07
2.1400e+03,1.0046e-07
2.1425e+03,1.0010e-07
2.1450e+03,9.9733e-08
2.1475e+03,9.9369e-08
2.1500e+03,9.9006e-08
2.1525e+03,9.8638e-08
2.1550e+03,9.8274e-08
2.1575e+03,9.7910e-08
2.1600e+03,9.7543e-08
2.1625e+03,9.7171e-08
2.1650e+03,9.6800e-08
2.1675e+03,9.6425e-08
2.1700e+03,9.6054e-08
2.1725e+03,9.5683e-08
2.1750e+03,9.5308e-08
2.1775e+03,9.4937e-08
2.1800e+03,9.4562e-08
2.1825e+03,9.4213e-08
2.1850e+03,9.3863e-08
2.1875e+03,9.3514e-08
2.1900e+03,9.3161e-08
2.1925e+03,9.2812e-08
2.1950e+03,9.2462e-08
2.1975e+03,9.2109e-08
2.2000e+03,9.1760e-08
2.2025e+03,9.1443e-08
2.2050e+03,9.1123e-08
2.2075e+03,9.0807e-08
2.2100e+03,9.0490e-08
2.2125e+03,9.0173e-08
2.2150e+03,8.9857e-08
2.2175e+03,8.9537e-08
2.2200e+03,8.9220e-08
2.2225e+03,8.8922e-08
2.2250e+03,8.8623e-08
2.2275e+03,8.8325e-08
2.2300e+03,8.8026e-08
2.2325e+03,8.7724e-08
2.2350e+03,8.7426e-08
2.2375e+03,8.7128e-08
2.2400e+03,8.6829e-08
2.2425e+03,8.6454e-08
2.2450e+03,8.6083e-08
2.2475e+03,8.5708e-08
2.2500e+03,8.5333e-08
2.2525e+03,8.4959e-08
2.2550e+03,8.4587e-08
2.2575e+03,8.4213e-08
2.2600e+03,8.3841e-08
2.2625e+03,8.3514e-08
2.2650e+03,8.3186e-08
2.2675e+03,8.2862e-08
2.2700e+03,8.2535e-08
2.2725e+03,8.2211e-08
2.2750e+03,8.1884e-08
2.2775e+03,8.1560e-08
2.2800e+03,8.1232e-08
2.2825e+03,8.0919e-08
2.2850e+03,8.0606e-08
2.2875e+03,8.0293e-08
2.2900e+03,7.9980e-08
2.2925e+03,7.9667e-08
2.2950e+03,7.9354e-08
2.2975e+03,7.9041e-08
2.3000e+03,7.8732e-08
2.3025e+03,7.8459e-08
2.3050e+03,7.8190e-08
2.3075e+03,7.7924e-08
2.3100e+03,7.7655e-08
2.3125e+03,7.7386e-08
2.3150e+03,7.7116e-08
2.3175e+03,7.6847e-08
2.3200e+03,7.6578e-08
2.3225e+03,7.6356e-08
2.3250e+03,7.6137e-08
2.3275e+03,7.5915e-08
2.3300e+03,7.5697e-08
2.3325e+03,7.5479e-08
2.3350e+03,7.5257e-08
2.3375e+03,7.5038e-08
2.3400e+03,7.4820e-08
2.3425e+03,7.4547e-08
2.3450e+03,7.4274e-08
2.3475e+03,7.4005e-08
2.3500e+03,7.3732e-08
2.3525e+03,7.3459e-08
2.3550e+03,7.3190e-08
2.3575e+03,7.2917e-08
2.3600e+03,7.2644e-08
2.3625e+03,7.2280e-08
2.3650e+03,7.1916e-08
2.3675e+03,7.1552e-08
2.3700e+03,7.1192e-08
2.3725e+03,7.0828e-08
2.3750e+03,7.0464e-08
2.3775e+03,7.0100e-08
2.3800e+03,6.9736e-08
2.3825e+03,6.9503e-08
2.3850e+03,6.9274e-08
