# # wavelength, f_lambda
4.e+03,0.00
5.400000000000000000e+03,1.433606300442181021e-12
5.500000000000000000e+03,2.334218764718677951e-12
5.600000000000000909e+03,2.244485715688391713e-12
5.699999999999999091e+03,1.813121533383380112e-12
5.800000000000000000e+03,1.712248047946313684e-12
5.900000000000000000e+03,2.042739819391554431e-12
6.000000000000000000e+03,1.587767478114222082e-12
6.100000000000000000e+03,1.313753232636280368e-12
6.200000000000000000e+03,4.492332270742142933e-13
6.300000000000000000e+03,1.576323699796825385e-12
6.400000000000000000e+03,1.456745422379296951e-12
6.500000000000000000e+03,1.215064154033609384e-12
6.600000000000000000e+03,8.815728953763543185e-13
6.700000000000000000e+03,7.678466887625306672e-13
6.800000000000000909e+03,1.130069745119290576e-12
6.899999999999999091e+03,1.125874637479521402e-12
7.000000000000000000e+03,5.040484014915143266e-13
7.100000000000000000e+03,6.754399606695099659e-13
7.200000000000000000e+03,1.805191264314699491e-13
7.300000000000000000e+03,1.361138769104109376e-13
7.400000000000000000e+03,5.098563106652958342e-13
7.500000000000000000e+03,8.228010533503288556e-13
7.600000000000000000e+03,6.239015307113919995e-13
7.700000000000000000e+03,4.370452219767415079e-13
7.800000000000000000e+03,1.777871769088034282e-13
7.900000000000000000e+03,1.659407216929306359e-13
8.000000000000000000e+03,1.145169715502749828e-13
8.100000000000000909e+03,1.974339640296386943e-13
8.200000000000000000e+03,4.306400061915644903e-13
8.300000000000000000e+03,5.521507776315865322e-13
8.400000000000000000e+03,1.142075004185317267e-13
8.500000000000000000e+03,1.902675884479030911e-13
8.600000000000000000e+03,5.278430729207410081e-14
8.700000000000000000e+03,5.550814405331218674e-14
8.800000000000000000e+03,4.994114960205579149e-14
8.900000000000000000e+03,3.051214288479232360e-14
9.000000000000000000e+03,3.213812161174567798e-14
9.100000000000000000e+03,7.047856047697377836e-14
9.200000000000000000e+03,1.042866176765098961e-13
9.300000000000000000e+03,3.209543601225760430e-13
9.400000000000000000e+03,4.716166935193979321e-13
9.500000000000000000e+03,1.878371652524586982e-13
9.600000000000000000e+03,7.594286855443141554e-14
9.700000000000000000e+03,2.580369030835370188e-14
9.800000000000000000e+03,2.881303940361515489e-14
9.900000000000000000e+03,2.168226546814610708e-14
1.000000000000000000e+04,2.442379176080200066e-14
1.010000000000000000e+04,1.633091569316929830e-14
1.020000000000000000e+04,1.228388358760092300e-14
1.030000000000000000e+04,2.373811447057404015e-14
1.040000000000000000e+04,4.565376807473927898e-14
1.050000000000000000e+04,8.350871872925714318e-14
1.060000000000000000e+04,1.327083237384282599e-13
1.070000000000000000e+04,1.466314789202165970e-13
1.080000000000000000e+04,1.236448551228669483e-13
1.090000000000000000e+04,8.039994165894956973e-14
1.100000000000000000e+04,2.311152088818016212e-14
1.110000000000000182e+04,6.783957082621537461e-15
1.120000000000000182e+04,3.222816722042409374e-15
1.129999999999999818e+04,2.430457768984259604e-15
1.139999999999999818e+04,1.661822766568175359e-15
1.150000000000000000e+04,1.333368043823062293e-15
1.160000000000000000e+04,1.824910837899821679e-15
1.170000000000000000e+04,2.352743353271970835e-15
1.180000000000000000e+04,2.854099987968974233e-15
1.190000000000000000e+04,3.286052208937221953e-15
1.200000000000000000e+04,1.395908632562500154e-15
1.210000000000000000e+04,2.095946725010586776e-15
1.220000000000000000e+04,3.416071007578607748e-15
1.230000000000000000e+04,5.444376881188445872e-15
1.240000000000000000e+04,7.373537445788240042e-15
1.250000000000000000e+04,2.224584752022528253e-14
1.260000000000000000e+04,4.199058282977072264e-14
1.270000000000000000e+04,5.655573846675801491e-14
1.280000000000000000e+04,6.602917908722289878e-14
1.290000000000000000e+04,5.322059260254911882e-14
1.300000000000000000e+04,2.074404156571715882e-14
1.310000000000000000e+04,6.243215933805721832e-15
1.320000000000000000e+04,3.097373639185032349e-15
1.330000000000000000e+04,2.380679890059358907e-15
1.340000000000000000e+04,1.746229292839162174e-15
1.350000000000000000e+04,1.222034661444170232e-15
1.360000000000000182e+04,1.089373437617863276e-15
1.370000000000000182e+04,9.580452677734559917e-16
1.379999999999999818e+04,8.428317686053353423e-16
1.389999999999999818e+04,7.250815983820714760e-16
1.400000000000000000e+04,7.230198719214286905e-16
1.410000000000000000e+04,9.941812160323928108e-16
1.420000000000000000e+04,1.256767331617734606e-15
1.430000000000000000e+04,1.501967691432343670e-15
1.440000000000000000e+04,1.741705122263695676e-15
1.450000000000000000e+04,1.977845985692271115e-15
1.460000000000000000e+04,2.207094691027397139e-15
1.470000000000000000e+04,2.406081076909620881e-15
1.480000000000000000e+04,1.602980856508400374e-15
1.490000000000000000e+04,2.609022152613846383e-15
1.500000000000000000e+04,5.241704576764444321e-15
1.510000000000000000e+04,7.930740529645190745e-15
1.520000000000000000e+04,1.159801310636946207e-14
1.530000000000000000e+04,1.675490088755691750e-14
1.540000000000000000e+04,2.027618909413813357e-14
1.550000000000000000e+04,1.855705956254401757e-14
1.560000000000000000e+04,1.694672463415762607e-14
1.570000000000000000e+04,2.433720257951965535e-14
1.580000000000000000e+04,2.808698904599182716e-14
1.590000000000000000e+04,2.378180367350342214e-14
1.600000000000000000e+04,1.616970438408828272e-14
1.610000000000000182e+04,6.157420883246014728e-15
1.620000000000000182e+04,1.211095732249656645e-15
1.629999999999999818e+04,1.630471985434152837e-15
1.640000000000000000e+04,1.319505918279297903e-15
1.650000000000000000e+04,1.158426688029384809e-15
1.660000000000000000e+04,1.116225366192480643e-15
1.670000000000000000e+04,1.037325547599411905e-15
1.680000000000000000e+04,9.475795485466269150e-16
1.690000000000000000e+04,9.345093846763068881e-16
