# Filter transmission curve produced by Materion. ,
#Truncated at T<1% due to measurement noise. ,
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. ,
lambda_nm,%T
400.0,0.0001
401.0,0.0001
402.0,0.0000
403.0,0.0000
404.0,0.0000
405.0,0.0000
406.0,0.0001
407.0,0.0000
408.0,0.0000
409.0,0.0000
410.0,0.0000
411.0,0.0000
412.0,0.0000
413.0,0.0000
414.0,0.0000
415.0,0.0000
416.0,0.0000
417.0,0.0000
418.0,0.0000
419.0,0.0000
420.0,0.0000
421.0,0.0000
422.0,0.0001
423.0,0.0000
424.0,0.0000
425.0,0.0001
426.0,0.0000
427.0,0.0000
428.0,0.0000
429.0,0.0001
430.0,0.0000
431.0,0.0000
432.0,0.0000
433.0,0.0000
434.0,0.0000
435.0,0.0001
436.0,0.0001
437.0,0.0001
438.0,0.0000
439.0,0.0000
440.0,0.0001
441.0,0.0001
442.0,0.0000
443.0,0.0000
444.0,0.0000
445.0,0.0001
446.0,0.0001
447.0,0.0000
448.0,0.0000
449.0,0.0002
450.0,0.0001
451.0,0.0000
452.0,0.0001
453.0,0.0000
454.0,0.0000
455.0,0.0000
456.0,0.0000
457.0,0.0000
458.0,0.0000
459.0,0.0000
460.0,0.0000
461.0,0.0000
462.0,0.0000
463.0,0.0000
464.0,0.0000
465.0,0.0000
466.0,0.0000
467.0,0.0000
468.0,0.0000
469.0,0.0000
470.0,0.0000
471.0,0.0000
472.0,0.0000
473.0,0.0000
474.0,0.0000
475.0,0.0000
476.0,0.0000
477.0,0.0000
478.0,0.0000
479.0,0.0001
480.0,0.0000
481.0,0.0000
482.0,0.0000
483.0,0.0000
484.0,0.0000
485.0,0.0001
486.0,0.0000
487.0,0.0000
488.0,0.0000
489.0,0.0001
490.0,0.0000
491.0,0.0000
492.0,0.0001
493.0,0.0001
494.0,0.0001
495.0,0.0001
496.0,0.0001
497.0,0.0001
498.0,0.0001
499.0,0.0002
500.0,0.0004
501.0,0.0007
502.0,0.0013
503.0,0.0022
504.0,0.0040
505.0,0.0092
506.0,0.0282
507.0,0.0857
508.0,0.2238
509.0,0.6409
510.0,2.6070
511.0,11.8926
512.0,38.8425
513.0,74.0782
514.0,91.7873
515.0,94.8711
516.0,95.0101
517.0,96.0571
518.0,96.7712
519.0,97.2648
520.0,97.8282
521.0,97.9653
522.0,97.4802
523.0,96.2898
524.0,94.7324
525.0,93.3804
526.0,93.6890
527.0,95.5310
528.0,97.5645
529.0,98.2601
530.0,98.0395
531.0,97.7710
532.0,97.4871
533.0,97.3246
534.0,97.5400
535.0,97.7072
536.0,97.3005
537.0,96.2918
538.0,95.5182
539.0,95.6785
540.0,96.6386
541.0,97.7214
542.0,98.3216
543.0,97.9840
544.0,96.2730
545.0,94.2852
546.0,93.4995
547.0,94.1505
548.0,95.5392
549.0,96.7917
550.0,97.9358
551.0,98.3631
552.0,98.2354
553.0,98.0415
554.0,97.9024
555.0,97.9766
556.0,97.6637
557.0,97.5769
558.0,97.9162
559.0,98.0357
560.0,97.8822
561.0,97.4499
562.0,97.1970
563.0,97.2201
564.0,97.2113
565.0,97.3980
566.0,97.6450
567.0,97.9036
568.0,98.0571
569.0,98.3027
570.0,98.6593
571.0,98.7899
572.0,98.8283
573.0,98.6649
574.0,98.1908
575.0,97.5021
576.0,97.2826
577.0,97.3887
578.0,97.8438
579.0,98.1977
580.0,98.6773
581.0,98.8219
582.0,98.3100
583.0,97.0982
584.0,95.7963
585.0,95.2910
586.0,95.8517
587.0,96.8763
588.0,97.8489
589.0,98.5055
590.0,98.7362
591.0,98.6505
592.0,98.4440
593.0,98.2102
594.0,98.3053
595.0,98.5728
596.0,98.7465
597.0,98.5308
598.0,98.2021
599.0,97.8117
600.0,97.2988
601.0,96.7161
602.0,96.4899
603.0,96.8824
604.0,97.6119
605.0,98.3884
606.0,98.5597
607.0,98.2715
608.0,97.9231
609.0,97.4703
610.0,97.1087
611.0,97.1016
612.0,97.6137
613.0,98.2732
614.0,98.3896
615.0,97.9322
616.0,97.1273
617.0,96.9189
618.0,97.1051
619.0,97.4188
620.0,97.7596
621.0,97.9680
622.0,98.2762
623.0,98.3957
624.0,98.2369
625.0,97.9852
626.0,98.0607
627.0,98.2428
628.0,98.4001
629.0,98.4751
630.0,98.4142
631.0,98.2092
632.0,97.5029
633.0,96.4302
634.0,95.5874
635.0,95.6848
636.0,96.3246
637.0,96.6335
638.0,96.6555
639.0,96.5822
640.0,94.4981
641.0,84.2367
642.0,61.0030
643.0,32.7799
644.0,12.6559
645.0,4.5913
646.0,1.6299
647.0,0.6381
648.0,0.2793
649.0,0.1313
650.0,0.0648
651.0,0.0327
652.0,0.0164
653.0,0.0085
654.0,0.0045
655.0,0.0024
656.0,0.0014
657.0,0.0009
658.0,0.0006
659.0,0.0004
660.0,0.0002
661.0,0.0002
662.0,0.0002
663.0,0.0001
664.0,0.0001
665.0,0.0001
666.0,0.0001
667.0,0.0000
668.0,0.0001
669.0,0.0001
670.0,0.0000
671.0,0.0001
672.0,0.0001
673.0,0.0000
674.0,0.0000
675.0,0.0000
676.0,0.0000
677.0,0.0000
678.0,0.0001
679.0,0.0001
680.0,0.0001
681.0,0.0000
682.0,0.0000
683.0,0.0001
684.0,0.0000
685.0,0.0000
686.0,0.0000
687.0,0.0000
688.0,0.0000
689.0,0.0000
690.0,0.0000
691.0,0.0000
692.0,0.0001
693.0,0.0001
694.0,0.0001
695.0,0.0001
696.0,0.0001
697.0,0.0001
698.0,0.0001
699.0,0.0001
700.0,0.0001
701.0,0.0001
702.0,0.0001
703.0,0.0000
704.0,0.0000
705.0,0.0000
706.0,0.0001
707.0,0.0001
708.0,0.0001
709.0,0.0001
710.0,0.0001
711.0,0.0001
712.0,0.0002
713.0,0.0002
714.0,0.0001
715.0,0.0001
716.0,0.0001
717.0,0.0002
718.0,0.0002
719.0,0.0004
720.0,0.0005
721.0,0.0005
722.0,0.0005
723.0,0.0005
724.0,0.0002
725.0,0.0002
726.0,0.0001
727.0,0.0001
728.0,0.0001
729.0,0.0001
730.0,0.0001
731.0,0.0000
732.0,0.0000
733.0,0.0001
734.0,0.0000
735.0,0.0001
736.0,0.0001
737.0,0.0001
738.0,0.0002
739.0,0.0002
740.0,0.0002
741.0,0.0001
742.0,0.0001
743.0,0.0001
744.0,0.0001
745.0,0.0000
746.0,0.0001
747.0,0.0000
748.0,0.0000
749.0,0.0000
750.0,0.0000
751.0,0.0001
752.0,0.0001
753.0,0.0001
754.0,0.0001
755.0,0.0003
756.0,0.0004
757.0,0.0009
758.0,0.0010
759.0,0.0008
760.0,0.0004
761.0,0.0003
762.0,0.0002
763.0,0.0001
764.0,0.0001
765.0,0.0002
766.0,0.0001
767.0,0.0001
768.0,0.0001
769.0,0.0003
770.0,0.0004
771.0,0.0005
772.0,0.0005
773.0,0.0005
774.0,0.0002
775.0,0.0001
776.0,0.0001
777.0,0.0000
778.0,0.0001
779.0,0.0001
780.0,0.0000
781.0,0.0000
782.0,0.0001
783.0,0.0001
784.0,0.0000
785.0,0.0000
786.0,0.0002
787.0,0.0001
788.0,0.0003
789.0,0.0002
790.0,0.0002
791.0,0.0002
792.0,0.0001
793.0,0.0000
794.0,0.0001
795.0,0.0000
796.0,0.0000
797.0,0.0000
798.0,0.0000
799.0,0.0001
800.0,0.0000
801.0,0.0001
802.0,0.0001
803.0,0.0000
804.0,0.0000
805.0,0.0000
806.0,0.0003
807.0,0.0002
808.0,0.0003
809.0,0.0002
810.0,0.0002
811.0,0.0002
812.0,0.0001
813.0,0.0000
814.0,0.0000
815.0,0.0001
816.0,0.0000
817.0,0.0001
818.0,0.0000
819.0,0.0000
820.0,0.0001
821.0,0.0001
822.0,0.0001
823.0,0.0000
824.0,0.0001
825.0,0.0001
826.0,0.0001
827.0,0.0000
828.0,0.0000
829.0,0.0001
830.0,0.0000
831.0,0.0001
832.0,0.0002
833.0,0.0005
834.0,0.0003
835.0,0.0000
836.0,0.0001
837.0,0.0000
838.0,0.0000
839.0,0.0001
840.0,0.0000
841.0,0.0001
842.0,0.0001
843.0,0.0000
844.0,0.0001
